username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
business;2017-01-12 15:53;15;13;"Apple faces consumer lawsuit over claims it tried to monopolize the market for iPhone apps http://bloom.bg/2j6674Y pic.twitter.com/Ao2oJp9YCM";;;;"819693750930862080";https://twitter.com/business/status/819693750930862080
Techmeme;2017-01-12 15:51;16;6;"US appeals court says Apple can be sued for monopolizing iOS app market (Reuters) http://www.reuters.com/article/us-apple-court-idUSKBN14W2VH …http://www.techmeme.com/170112/p23#a170112p23 …";;;#a170112p23;"819693292157861889";https://twitter.com/Techmeme/status/819693292157861889
engadget;2017-01-12 15:15;8;20;"Remember this colorful beauty? Our thoughts on Apple's iPhone 5c: http://engt.co/2jcpP14";;;;"819684132078829568";https://twitter.com/engadget/status/819684132078829568
businessinsider;2017-01-12 15:08;24;27;"Apple's Macs were the biggest losers of the PC industry in 2016 http://read.bi/2jJH8HO pic.twitter.com/XLIQ6PdeIp";;;;"819682503502004224";https://twitter.com/businessinsider/status/819682503502004224
MEEDIA;2017-01-12 15:00;2;0;"Apple will auf TV- und Film-Eigenproduktionen setzen, um seinen Streaming-Dienst Apple Music aufzuwerten http://meedia.de/2017/01/12/apple-setzt-auf-tv-und-film-eigenproduktionen-um-seinen-streaming-dienst-apple-music-aufzuwerten/ …";;;;"819680394341707776";https://twitter.com/MEEDIA/status/819680394341707776
DKThomp;2017-01-12 14:52;1;10;"apple doing tv: merely annoying if you're netflix/hbo (ugh another bidder); kinda scary if you're spotify http://www.wsj.com/articles/apple-sets-its-sights-on-hollywood-with-plans-for-original-content-1484217007 …pic.twitter.com/x7xzIaPQ9e";;;;"819678467126099969";https://twitter.com/DKThomp/status/819678467126099969
USATODAY;2017-01-12 14:45;28;31;"Netflix vs. Amazon vs. Hollywood vs. ... Apple? http://usat.ly/2jowDq9";;;;"819676626724196353";https://twitter.com/USATODAY/status/819676626724196353
hkunimitsu;2017-01-12 14:23;9;9;"遂にAppleも動きが見えてきた！早くリリースして欲しいな >Appleが、ドイツの光学機器メーカーCarl Zeissと共同で新しいARメガネの開発に取り組んでいるとする新しい報道が浮上した。 http://fb.me/6e7EWmKqx";;;;"819671059507060739";https://twitter.com/hkunimitsu/status/819671059507060739
Reuters;2017-01-12 13:35;39;40;"U.S. appeals court revives antitrust lawsuit against Apple http://reut.rs/2jcIudL pic.twitter.com/eiMeCYdLjN";;;;"819658988883247105";https://twitter.com/Reuters/status/819658988883247105
DrSchulz007;2017-01-12 13:23;0;0;"Gute Nachrichten für Tim Cook: Apple veröffentlicht neues Produkt - und wird sofort Marktführer http://www.focus.de/6486047";;;;"819656178489819136";https://twitter.com/DrSchulz007/status/819656178489819136
