username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
engadget;2016-11-30 15:55;26;32;"Apple's renewed fight against AIDS includes new iPhone cases http://engt.co/2gHzWKg pic.twitter.com/TZV10zqBra";;;;"804111646155218944";https://twitter.com/engadget/status/804111646155218944
TheNextWeb;2016-11-30 15:03;11;9;"Email from Apple CEO reportedly details long-awaited 'AirPod' ship date http://tnw.me/bGvO9JT pic.twitter.com/lQPDi2EXbY";;;;"804098626771439628";https://twitter.com/TheNextWeb/status/804098626771439628
TechCrunch;2016-11-30 14:50;40;27;"Apple acknowledges the new iCal spam problem, says its working on it http://tcrn.ch/2fSsPgV  by @ grg";;@;;"804095202939895809";https://twitter.com/TechCrunch/status/804095202939895809
bbcmundo;2016-11-30 14:49;12;13;"Cómo frenar el spam que envía invitaciones con promociones al calendario de Apple http://bbc.in/2gIYLCe";;;;"804094932067774464";https://twitter.com/bbcmundo/status/804094932067774464
noyesclt;2016-11-30 14:26;25;30;"Apple Pay: implications [tokens] are radical... Instead of presenting a payment, you’re presenting your identity https://www.wired.com/2016/11/apple-pay-will-change-way-brain-thinks-buying-things/ …";;;;"804089189033771008";https://twitter.com/noyesclt/status/804089189033771008
itmedia_news;2016-11-30 14:13;57;33;"Apple Music、日本でも「学生プラン」開始　月額480円 http://bit.ly/2gLKRiy pic.twitter.com/u9JfembRmz";;;;"804085878201065472";https://twitter.com/itmedia_news/status/804085878201065472
sternde;2016-11-30 14:01;6;4;"Der Update-GAU beim # iphone von @ Apple – kein Saft mehr. http://www.stern.de/7218108";;@;#;"804082834801627137";https://twitter.com/sternde/status/804082834801627137
sebastian_6;2016-11-30 13:51;0;0;"Apple-Leaks: Das nächste iPhone könnte radikal anders aussehen - N24.de http://m.n24.de/n24/Nachrichten/Netzwelt/d/9498608/das-naechste-iphone-koennte-radikal-anders-aussehen.html …";;;;"804080522016280579";https://twitter.com/sebastian_6/status/804080522016280579
WiredUK;2016-11-30 13:31;18;13;"See the full list of European firms bought by Apple, Amazon and Alphabet http://wired.uk/WK1cXp pic.twitter.com/HJ2aAacRr3";;;;"804075281480720384";https://twitter.com/WiredUK/status/804075281480720384
sbmeunier;2016-11-30 13:25;8;9;"I should apply Apple, Google, Amazon ask Trump to appoint a Treasury undersecretary for # fintech http://origin-nyi.thehill.com/policy/finance/banking-financial-institutions/308055-major-tech-companies-push-trump-admin-on …pic.twitter.com/wlT006ihvX";;;#;"804073797418647552";https://twitter.com/sbmeunier/status/804073797418647552
alissamarie;2016-11-30 13:21;13;47;"My Advent explainer made it onto the Apple News top stories today, I'm told, so . . . you should maybe read it http://www.vox.com/culture/2016/11/30/13763408/advent-explained-wreath-calendar-season-nazi-christmas-eisenhower-catholic-christmas …";;;;"804072889213485060";https://twitter.com/alissamarie/status/804072889213485060
