username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
tsport100;2013-12-11 14:46;3;3;"How Tesla Batteries Are Powering an Energy Revolution - The Atlantic http://bit.ly/1byhZ67";;;;"410903551838535681";https://twitter.com/tsport100/status/410903551838535681
WSJ;2013-12-11 12:31;83;28;"Tesla is moving to expand its charging network to make coast-to-coast road trips more feasible. http://on.wsj.com/18mdAox $ TSLA";;;;"410869420551319552";https://twitter.com/WSJ/status/410869420551319552
Tiefseher;2013-12-11 08:57;4;1;"Man Buys $103K Tesla Model S With Bitcoin # BTChttp://mashable.com/2013/12/09/tesla-bitcoin/ …";;;#;"410815676853809152";https://twitter.com/Tiefseher/status/410815676853809152
OreBobby;2013-12-11 07:01;44;1;"# BobbyOreMotorsports # Bitcoin used for # Tesla Model S purchase at Lamborghini dealership http://ow.ly/rCL0D";;;# # #;"410786534825426944";https://twitter.com/OreBobby/status/410786534825426944
LarsLarsonShow;2013-12-11 12:37;0;2;"RT @ WSJ: Tesla is moving to expand its charging network to make coast-to-coast road trips more feasible. http://on.wsj.com/18mdAox $ TSLA";;@;;"410870925098483713";https://twitter.com/LarsLarsonShow/status/410870925098483713
TodoGadget;2013-12-11 05:53;3;0;"Man Buys $103K Tesla Model S With Bitcoin http://bit.ly/1bDog1i";;;;"410769204917600257";https://twitter.com/TodoGadget/status/410769204917600257
davidwillans;2013-12-11 03:44;1;1;"“ @ carlmartin: Man buys a $103k Tesla, with Bitcoin. Ladies and gentlemen, 2013 in a single headline - http://on.mash.to/18CkVyd  (via @ boughb)”";;@ @;;"410736742355193857";https://twitter.com/davidwillans/status/410736742355193857
clockspd;2013-12-10 18:32;1;0;"Numbers Don't Lie: Tesla Is Beginning To Put The Hurt On The Competition http://onforb.es/16FCA63 # Ops_for_Entreps";;;#;"410597931117342720";https://twitter.com/clockspd/status/410597931117342720
kozbonus;2013-12-10 18:30;0;0;"起業、チーム、失敗への恐怖--PayPal、Tesla、SpaceXのイーロン・マスク氏が語る - CNET Japan http://japan.cnet.com/news/business/35039761/ …";;;;"410597395928338433";https://twitter.com/kozbonus/status/410597395928338433
