username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Inc;2014-09-20 16:55;23;20;"What's Behind Tesla's Stock Sell-Off http://bit.ly/1r7gTY4 pic.twitter.com/5ozjk8gUls";;;;"513476669102129152";https://twitter.com/Inc/status/513476669102129152
Inc;2014-09-20 14:55;25;27;"9 important questions about Elon Musk's Tesla gigafactory http://bit.ly/1r7gPHU pic.twitter.com/wZTt6on6VU";;;;"513446351125106688";https://twitter.com/Inc/status/513446351125106688
WSJTech;2014-09-20 14:34;4;4;"As cousins and business partners, Tesla's Musk and SolarCity's Rive have a grand plan for power storage http://on.wsj.com/1s8IPx8  by @ mims";;@;;"513440993354346496";https://twitter.com/WSJTech/status/513440993354346496
HuffPost;2014-09-20 13:24;26;16;"Tesla falls yet again as Wall Street sobers on stock http://huff.to/1AXUk9o";;;;"513423374203494403";https://twitter.com/HuffPost/status/513423374203494403
ActualidadRT;2014-09-20 13:17;253;137;"RT habla con físicos rusos que construirían la Torre Tesla para suministrar energía al mundo http://es.rt.com/ADJ pic.twitter.com/dEuI2yg6jC";;;;"513421620602753024";https://twitter.com/ActualidadRT/status/513421620602753024
ActualidadRT;2014-09-20 06:57;129;64;"RT entrevista a físicos rusos que pretenden revolucionar el sector energético la Torre Tesla http://es.rt.com/ADJ pic.twitter.com/XBBtevu1s6";;;;"513325989133156353";https://twitter.com/ActualidadRT/status/513325989133156353
fadig;2014-09-19 23:00;2;1;"Why I Drive The 'Anti-Tesla' http://onforb.es/1px6xAm  via @ forbes";;@;;"513206095884455939";https://twitter.com/fadig/status/513206095884455939
C_Coolidge;2014-09-20 14:43;2;0;"Why Tesla Motors can't sell cars in most of the United States http://www.engadget.com/2014/07/17/tesla-motors-us-sales/ …";;;;"513443390415831040";https://twitter.com/C_Coolidge/status/513443390415831040
HuffPostBiz;2014-09-20 12:55;4;1;"Tesla shares fall yet again as Wall Street sobers on the stock http://huff.to/1qULycg $ TSLApic.twitter.com/nWOoCvNkyW";;;;"513416196159717376";https://twitter.com/HuffPostBiz/status/513416196159717376
TurkiAntof;2014-09-20 07:11;2;3;""físicos rusos pretenden revolucionar sector energético Torre Tesla http://es.rt.com/ADJ  pic.twitter.com/pzS4wNyGhF"cc @ JorgeRabanalA @ jsdiaz_";;@ @;;"513329605571543040";https://twitter.com/TurkiAntof/status/513329605571543040
vermonter66;2014-09-20 06:30;1;1;"Fremont's imaginative planning puts S.F.'s to shame # WarmSprings # MixedUse # TOD # Tesla http://www.sfgate.com/bayarea/place/article/Fremont-s-imaginative-planning-puts-S-F-s-to-5768319.php?cmpid=twitter … via @ SFGate";;@;# # # #;"513319300367527937";https://twitter.com/vermonter66/status/513319300367527937
EvolvrIO;2014-09-20 04:15;1;0;"# Tesla ships out a new # update, Software v6.0, to all their cars. OTA update for a # car! http://bit.ly/1mpJ0Su pic.twitter.com/PZFZOTMGCx";;;# # #;"513285303688519680";https://twitter.com/EvolvrIO/status/513285303688519680
silverbacklive;2014-09-20 01:27;0;1;"Tesla Model S update brings calendar integration and traffic-based navigation http://ift.tt/1r7Xo08 # startup # Dubai # GCC";;;# # #;"513243125129949184";https://twitter.com/silverbacklive/status/513243125129949184
WSJPodcasts;2014-09-19 22:37;1;0;"Tesla upgrade lets you start your car with your smartphone http://on.wsj.com/1rlOTjH  via @ WSJ";;@;;"513200168968015873";https://twitter.com/WSJPodcasts/status/513200168968015873
ManhattanInst;2014-09-19 18:23;0;1;""Better battery technology will emerge, but not from building bigger buildings" # Tesla # Nevadahttp://onforb.es/1qNZ6X5";;;# #;"513136220231065600";https://twitter.com/ManhattanInst/status/513136220231065600
DailyTechbytes;2014-09-19 17:06;0;1;""Other automakers to challenge Tesla in over-the-air software upgrades - Reuters" http://ift.tt/1mnvJK3 # Startup # tech # news";;;# # #;"513117044209098755";https://twitter.com/DailyTechbytes/status/513117044209098755
