username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ASmithHimself;2014-06-29 13:11;0;1;"Giga Factories And Patent Giveaways: Musk's Tesla Moat Building Strategy - Tesla Motors (NASDAQ:TSLA) | Seeking Alpha http://seekingalpha.com/article/2291263-giga-factories-and-patent-giveaways-musks-tesla-moat-building-strategy …";;;;"483341962632654848";https://twitter.com/ASmithHimself/status/483341962632654848
arnestor;2014-06-29 11:11;0;1;"Tesla blir utfordret av kinesisk bilgigant i kampen om det globale elbilmarkedet. via @ gordongchang @ forbeshttp://onforb.es/1lpEdZN";;@ @;;"483311809513160706";https://twitter.com/arnestor/status/483311809513160706
TeslaClubBE;2014-06-29 09:48;3;1;"RT “ @ BloombergTV: Five awesome electric rides we want now: http://bloom.bg/1pDLKtN  pic.twitter.com/aJzo7xARI8” > # EV # Tesla";;@;# #;"483290980381380608";https://twitter.com/TeslaClubBE/status/483290980381380608
GordonGChang;2014-06-29 09:30;6;5;"China's Wanxiang is challenging Tesla for dominance of the global electric car market. And it could win. See this: http://onforb.es/1lpEdZN";;;;"483286463178498048";https://twitter.com/GordonGChang/status/483286463178498048
BlairCurrie;2014-06-28 19:22;1;1;"Toyota first off the mark with hydrogen based car. But not a rival to Tesla - a totally different type of animal: http://www.engadget.com/2014/06/25/toyota-hydrogen-fuel-cell-car-vs-tesla/ …";;;;"483073018155892736";https://twitter.com/BlairCurrie/status/483073018155892736
engadget;2014-06-28 19:15;101;71;"# EngadgetReplay: Toyota's first hydrogen car is priced to go head-to-head with Tesla. http://engt.co/1qIOsAf pic.twitter.com/PQDcx8cIfU";;;#;"483071105914003457";https://twitter.com/engadget/status/483071105914003457
paulrhobus;2014-06-29 12:24;0;1;"This is pretty sick! Watch out Tesla http://www.engadget.com/2014/06/25/toyota-hydrogen-fuel-cell-car-vs-tesla/ …pic.twitter.com/5Lp0OGpFgl";;;;"483330093591175168";https://twitter.com/paulrhobus/status/483330093591175168
SeekingAlpha;2014-06-28 22:32;2;1;"Giga Factories And Patent Giveaways: Musk's Tesla Moat Building Strategy http://seekingalpha.com/article/2291263-giga-factories-and-patent-giveaways-musks-tesla-moat-building-strategy?source=feed_f … $ TSLA";;;;"483120894991011841";https://twitter.com/SeekingAlpha/status/483120894991011841
