username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mashable;2016-05-16 16:59;33;41;"Someone created an unofficial, yet convincing Tesla Model 3 configurator http://on.mash.to/1Nwa5kv pic.twitter.com/QyUah6GPt8";;;;"732359742329368576";https://twitter.com/mashable/status/732359742329368576
ProPublica;2016-05-16 16:32;40;22;"This foreign worker earned the equivalent of $5/hour working on the Tesla Motors expansion in Fremont, Calif. http://extras.mercurynews.com/silicon-valley-imported-labor/ …";;;;"732352935196164097";https://twitter.com/ProPublica/status/732352935196164097
latimes;2016-05-16 16:30;21;14;"Elon Musk responds to exposé on foreign laborers at Tesla plant http://lat.ms/1TiYF3T";;;;"732352501085798403";https://twitter.com/latimes/status/732352501085798403
businessinsider;2016-05-16 15:50;22;27;"Here's who's buying Tesla's Model 3 http://read.bi/1XfYx6H pic.twitter.com/RbO1pl5C8e";;;;"732342431170039809";https://twitter.com/businessinsider/status/732342431170039809
mmmmurf;2016-05-16 15:29;11;12;"Accused of importing cheap labor, Tesla and Elon Musk vow to 'make it right': http://www.marketwatch.com/story/accused-of-importing-cheap-labor-tesla-vows-to-make-it-right-2016-05-16 …pic.twitter.com/Q6IUp8CBLI";;;;"732337190580146177";https://twitter.com/mmmmurf/status/732337190580146177
QTRResearch;2016-05-16 15:09;7;9;"Tesla caught paying $5/hour to foreign workers - http://lat.ms/1TiYF3T  (must explain their huge margins) $ TSLA";;;;"732332217368616961";https://twitter.com/QTRResearch/status/732332217368616961
evannex_com;2016-05-16 14:18;5;6;"How # TeslaModel3 poses a new threat to BMW and Mercedes, read here: http://ow.ly/fUqQ300gbmb $ tsla # tesla # teslamotors # teslamodels # elonmusk";;;# # # # #;"732319263688654848";https://twitter.com/evannex_com/status/732319263688654848
CBCNews;2016-05-16 13:32;81;39;"Tesla subcontractor pays foreign workers $5 an hour to work in unsafe plants, report alleg… http://ift.tt/1OwkVSl pic.twitter.com/RjYbA3oi13";;;;"732307838282940417";https://twitter.com/CBCNews/status/732307838282940417
HuffPostTech;2016-05-16 13:16;36;21;"Elon Musk apologizes for Tesla workers paid just $5 an hour by subcontractor http://huff.to/1qoBWrt pic.twitter.com/5cVDJ2Cb4b";;;;"732303732587806720";https://twitter.com/HuffPostTech/status/732303732587806720
CNET;2016-05-16 12:27;20;17;"Tesla allegedly linked to migrant labor in building its facilities @ roadshow http://cnet.co/1qoiuel pic.twitter.com/eOayMJrNsW";;@;;"732291288716967936";https://twitter.com/CNET/status/732291288716967936
