username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
novapbs;2013-09-20 14:40;27;14;"Tesla may have just patented a way to build a long-range electric car. http://to.pbs.org/16uHn7Y # NOVAnext";;;#;"381171060122865664";https://twitter.com/novapbs/status/381171060122865664
fwd;2013-09-20 13:53;11;5;"What if you bought Tesla stock instead of a Tesla? You'd be rich. Well, richer http://www.buzzfeed.com/charliewarzel/what-if-you-bought-tesla-stock-instead-of-one-of-its-cars …";;;;"381159281045020672";https://twitter.com/fwd/status/381159281045020672
MarketWatch;2013-09-20 07:42;12;3;"Another record for Tesla http://on.mktw.net/15I0COO $ TSLA";;;;"381065740117618688";https://twitter.com/MarketWatch/status/381065740117618688
newsyc20;2013-09-19 23:10;5;1;"Tesla Motors says car dealers are trying to hinder its sales http://bit.ly/1aPLBuX  (http://bit.ly/16KGtrf )";;;;"380936896265728000";https://twitter.com/newsyc20/status/380936896265728000
novascinow;2013-09-20 14:25;4;2;"Tesla may have just patented a way to build a long-range electric car. http://to.pbs.org/16uHn7Y # NOVAnext";;;#;"381167204475342848";https://twitter.com/novascinow/status/381167204475342848
