username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SteveForbesCEO;2015-03-25 12:02;8;2;""Tesla is disruptive mostly of a driver’s confidence that he’s going to reach his destination without needing a tow." http://www.wsj.com/articles/holman-jenkins-tesla-just-another-car-company-1427238597 …";;;;"580807009336979459";https://twitter.com/SteveForbesCEO/status/580807009336979459
HuffPostQuebec;2015-03-25 09:41;4;3;"VIDÉO: la # Tesla Model X aperçu en Californie http://huff.to/1N8stvh pic.twitter.com/sbgrEOS7Vf";;;#;"580771405362515968";https://twitter.com/HuffPostQuebec/status/580771405362515968
business;2015-03-25 09:37;47;32;"Tesla shares fall after CLSA analyst cuts rating on outlook for Model X margins http://bloom.bg/1Ngnqqy pic.twitter.com/r3qWepa85t";;;;"580770473161695232";https://twitter.com/business/status/580770473161695232
BI_contributors;2015-03-25 07:58;3;4;"If you have Tesla Model S malaise, the BMW i8 is the cure http://read.bi/1bti9jS pic.twitter.com/uLU7gk4U2o";;;;"580745568256937984";https://twitter.com/BI_contributors/status/580745568256937984
simonlporter;2015-03-25 01:04;3;3;"Tesla to introduce Model S self-driving cars this summer http://klou.tt/o34hd8sj4fux";;;;"580641346282610688";https://twitter.com/simonlporter/status/580641346282610688
businessinsider;2015-03-24 22:30;53;47;"Tesla's next car was spotted on the highway http://buff.ly/1FTF1nT pic.twitter.com/XMWRYjnvhb";;;;"580602529756684288";https://twitter.com/businessinsider/status/580602529756684288
FastCompany;2015-03-24 21:47;12;14;"A Tesla full of ice cream: http://f-st.co/ikfkvod";;;;"580591937499062272";https://twitter.com/FastCompany/status/580591937499062272
TechCrunch;2015-03-24 21:00;232;161;"The Tesla Model X was spied on a California highway http://tcrn.ch/1Hwz6nm pic.twitter.com/cfJb8s3OJc";;;;"580579938757115904";https://twitter.com/TechCrunch/status/580579938757115904
CNBCPro;2015-03-25 12:44;3;1;"Analyst dares to say 'sell' Tesla's cult stock http://cnb.cx/1N98Hj6  by @ GiovannyMoreano $ TSLApic.twitter.com/nM5DQZj5Y6";;@;;"580817426524176384";https://twitter.com/CNBCPro/status/580817426524176384
Securing_Energy;2015-03-25 11:10;5;1;"GM, Ford, Nissan, and Volkswagen all in the race to beat # Tesla to a mass-market, 200 mile range # EVhttp://reut.rs/1btTYld";;;# #;"580793890933981187";https://twitter.com/Securing_Energy/status/580793890933981187
manao;2015-03-25 00:26;1;1;"" @ FastCompany: A Tesla full of ice cream: http://f-st.co/ikfkvod " who's driving? Ben? Or Jerry? # tesla";;@;#;"580631744187092992";https://twitter.com/manao/status/580631744187092992
Jacobsonadam;2015-03-25 00:03;0;3;"Tesla to introduce Model S self-driving cars this summer http://klou.tt/6sgyinj5kvtn";;;;"580626126000799745";https://twitter.com/Jacobsonadam/status/580626126000799745
StaceyCerniuk;2015-03-24 21:59;2;0;"Ben & Jerry's new ice cream truck is a Tesla. http://www.fastcompany.com/3043816/most-innovative-companies/ben-jerrys-new-ice-cream-truck-is-a-tesla … by cgayomali via @ FastCompany /";;@;;"580594882978381824";https://twitter.com/StaceyCerniuk/status/580594882978381824
CapgeminiConsul;2015-03-24 21:45;3;2;"Apple Gears Up to Challenge Tesla in Electric Cars http://ow.ly/KzT9X";;;;"580591260643303425";https://twitter.com/CapgeminiConsul/status/580591260643303425
adnys;2015-03-24 21:02;0;3;"Sign me up. RT @ TechCrunch: The Tesla Model X was spied on a California highway http://tcrn.ch/1Hwz6nm pic.twitter.com/THLmYqVqwZ";;@;;"580580496318599168";https://twitter.com/adnys/status/580580496318599168
bulletproofexec;2015-03-24 17:02;10;12;"Tesla basically just ignited the driverless car era http://buff.ly/1xf47Mr pic.twitter.com/5BSaGrah6t";;;;"580519992162168832";https://twitter.com/bulletproofexec/status/580519992162168832
