username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CNBC;2017-01-10 15:52;31;31;"Key Apple engineer is leaving for Tesla http://cnb.cx/2igEBDb";;;;"818968780571312130";https://twitter.com/CNBC/status/818968780571312130
arstechnica;2017-01-10 15:07;33;47;"Longtime Apple programmer and Swift creator leaves Apple for Tesla http://arstechnica.com/apple/2017/01/longtime-apple-programmer-and-swift-creator-leaves-apple-for-tesla/ … by @ AndrewWrites";;@;;"818957352795836416";https://twitter.com/arstechnica/status/818957352795836416
itmedia_news;2017-01-10 14:56;73;41;"Tesla、AppleのSwift責任者を引き抜き、自動運転ソフト担当幹部に指名 http://bit.ly/2iZiy2r pic.twitter.com/yE7eO4hwb1";;;;"818954820878942208";https://twitter.com/itmedia_news/status/818954820878942208
TechCrunch;2017-01-10 14:30;110;123;"Tesla hires Apple's creator of Swift as new VP of Autopilot Software http://tcrn.ch/2igh5WS  by @ etheringtonpic.twitter.com/z7QgGbGWm8";;@;;"818948278041608192";https://twitter.com/TechCrunch/status/818948278041608192
Recode;2017-01-10 14:10;67;50;"Update: The creator of Swift, Apple’s new programming language, is leaving for Tesla. https://www.recode.net/2017/1/10/14229364/apple-swift-chris-lattner-leaving?utm_campaign=recode.social&utm_medium=social&utm_content=recode&utm_source=twitter …";;;;"818943235305283584";https://twitter.com/Recode/status/818943235305283584
BColwell_CTA;2017-01-10 12:05;8;10;"The New # Tesla... # lithium # ev # cleantech # renewable # commodities # musk $ tsla # solar # spaceXhttp://ow.ly/lkqE307Gkda";;;# # # # # # # # #;"818911663877476356";https://twitter.com/BColwell_CTA/status/818911663877476356
joenglert;2017-01-10 08:24;0;0;"Was man über CEO's grosser Automobilkonzerne nie lesen wird # customerexperience # service # tesla Well done @ elonmuskhttp://www.inc.com/justin-bariso/elon-musk-takes-customer-complaint-on-twitter-from-idea-to-execution-in-6-days.html …";;@;# # #;"818856051575492608";https://twitter.com/joenglert/status/818856051575492608
infomoney;2017-01-10 08:02;6;10;"Reclamação no Twitter estimula Tesla a criar solução em 6 dias http://tinyurl.com/ztznw96 # negocios_IM";;;#;"818850390879961088";https://twitter.com/infomoney/status/818850390879961088
IngVersteher;2017-01-10 05:01;0;0;"# TESLA ist in den Köpfen potentieller deutscher Käufer beim # Elektroauto erste Wahlhttp://ow.ly/UkJ8307KdGU";;;# #;"818805015242481664";https://twitter.com/IngVersteher/status/818805015242481664
BColwell_Invest;2017-01-10 04:50;10;10;"# Tesla: Buying The Experiment... # lithium # musk # ev # commodities $ tsla $ lit # energy # cleantech # climate # tech # solarhttp://ow.ly/YU4e307A2i3";;;# # # # # # # # # #;"818802138713358336";https://twitter.com/BColwell_Invest/status/818802138713358336
MikeSchreiner;2017-01-09 19:30;45;52;"Tesla flips the switch on what will soon be the world’s biggest factory—with thousands of jobs. http://bloom.bg/2iIn8V8 # cleaneconomy";;;#;"818661192507990017";https://twitter.com/MikeSchreiner/status/818661192507990017
itmedia_news;2017-01-10 15:45;13;6;"50RT Tesla、AppleのSwift責任者を引き抜き、自動運転ソフト担当幹部に指名 http://www.itmedia.co.jp/news/articles/1701/11/news058.html …";;;;"818967112538472449";https://twitter.com/itmedia_news/status/818967112538472449
MarketWatch;2017-01-10 14:41;4;5;"Tesla hires Apple vet to lead 'Autopilot' software efforts: http://on.mktw.net/2ige34U";;;;"818951014128750592";https://twitter.com/MarketWatch/status/818951014128750592
engadget;2017-01-10 14:37;63;80;"Tesla hires the creator of Apple's Swift programming language http://engt.co/2igdUhW pic.twitter.com/fwPKR8saQX";;;;"818949995260968961";https://twitter.com/engadget/status/818949995260968961
VentureBeat;2017-01-10 14:05;17;22;"Update: Tesla has hired the creator of Apple's Swift programming language as its new VP of Autopilot software http://venturebeat.com/2017/01/10/the-creator-of-apples-swift-programming-language-is-leaving-the-company/ …pic.twitter.com/xmJoLiAr23";;;;"818941933275885568";https://twitter.com/VentureBeat/status/818941933275885568
BIUK;2017-01-10 06:00;3;3;"Elon Musk came up with an ingenious solution to a Tesla owner's Twitter complaint in just 6 days http://buff.ly/2joLccv pic.twitter.com/efWA7168Fy";;;;"818819919915732992";https://twitter.com/BIUK/status/818819919915732992
KeepitMadeinUSA;2017-01-10 04:18;8;2;"Tesla makes all of its cars in the US & exports half. Ford makes 95% of the cars it sells in the US in the US. http://ow.ly/XIBU307Rg3A";;;;"818794134614011904";https://twitter.com/KeepitMadeinUSA/status/818794134614011904
TopGear_FR;2017-01-10 01:14;4;9;"Tesla installe son nouveau système de conduite autonome sur ses voitures mais sans l'activer http://bit.ly/2iZcBVt pic.twitter.com/HyLuPxmqJW";;;;"818747912293322752";https://twitter.com/TopGear_FR/status/818747912293322752
RTLFrance;2017-01-09 21:50;7;6;"Tesla : la voiture électrique américaine bientôt produite en France ? > http://bit.ly/2jcru4e pic.twitter.com/BHhd3loJc9";;;;"818696555599380480";https://twitter.com/RTLFrance/status/818696555599380480
FabTechnoMelO;2017-01-09 20:12;0;3;"# Economie : @ MichelSapin tente de convaincre # Tesla de s’installer en France ! by @ AnaisMoutot via @ LesEchos ▷http://bit.ly/2iyweAB pic.twitter.com/60uP6BWG4J";;@ @ @;# #;"818671728687726592";https://twitter.com/FabTechnoMelO/status/818671728687726592
RheoTV;2017-01-09 19:28;3;1;"Tesla Makes Reno a Critical Pit Stop on Way to Las Vegas and CES https://www.bloomberg.com/news/articles/2016-12-29/tesla-makes-reno-a-critical-pit-stop-on-way-to-las-vegas-and-ces?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter …pic.twitter.com/Db1WqApDzj";;;;"818660648167022592";https://twitter.com/RheoTV/status/818660648167022592
Nikkiayana;2017-01-09 19:17;0;1;"How a tweet to @ ElonMusk became business policy in 6 days: https://lnkd.in/d2Bwm_B # Tesla # CXhttps://lnkd.in/dPEjUGs";;@;# #;"818657956594065408";https://twitter.com/Nikkiayana/status/818657956594065408
ChristianLitsch;2017-01-09 18:20;0;0;"# Tesla: # ElonMusk takes # customer complaint on # Twitter from idea to execution in 6 days http://www.inc.com/justin-bariso/elon-musk-takes-customer-complaint-on-twitter-from-idea-to-execution-in-6-days.html … # Supercharger # leadership";;;# # # # # #;"818643660895965186";https://twitter.com/ChristianLitsch/status/818643660895965186
GordonTredgold;2017-01-09 17:40;0;0;"Dyson's New Deluxe Appliance Is Like the Tesla of Hair Dryers http://www.inc.com/betsy-mikel/dysons-new-deluxe-appliance-is-like-the-tesla-of-hair-dryers.html … via @hypersocial_uk # socialmedia";;@hypersocial_uk;#;"818633653181878272";https://twitter.com/GordonTredgold/status/818633653181878272
JohnDobbin;2017-01-09 17:37;1;0;"Next-gen Samsung EV battery provides about double range of current Tesla battery https://techcrunch.com/2017/01/09/next-gen-samsung-ev-battery-gets-300-miles-of-range-from-a-20-minute-charge/ …";;;;"818632884353257472";https://twitter.com/JohnDobbin/status/818632884353257472
revuze;2017-01-09 17:30;0;1;"Next car ? After @ Tesla ;-) # happyhour Source: 31 best business photos of the month http://bloom.bg/2i7Kcx2 # NRF17 # JPM17 # automotivepic.twitter.com/RNdPRhcVGx";;@;# # # #;"818631102705192960";https://twitter.com/revuze/status/818631102705192960
epauepedra;2017-01-09 16:47;0;0;"8 Things You Didn't Know About Nikola Tesla | PBS NewsHour Would trump America allow this immigrant in the country? http://www.pbs.org/newshour/rundown/5-things-you-didnt-know-about-nikola-tesla/#.V0sEvCk5ftg.twitter …";;;#;"818620351227817984";https://twitter.com/epauepedra/status/818620351227817984
Japistani;2017-01-09 16:38;0;1;"In only (6) days, @ elonmusk came up with and implemented an ingenious solution to a Tesla owner’s Twitter complaint http://read.bi/2jw6I33 pic.twitter.com/2zNkFiTNh1";;@;;"818617954413649921";https://twitter.com/Japistani/status/818617954413649921
donbarbieri;2017-01-09 16:27;0;0;"Thanks @ elonmusk Can't wait for Tesla Model 3!! - Tesla Enhanced Autopilot system: FEATURES - Business Insider http://www.businessinsider.com/tesla-enhanced-autopilot-system-features-2017-1 …";;@;;"818615266292568065";https://twitter.com/donbarbieri/status/818615266292568065
climatebabes;2017-01-09 16:23;0;1;"New better lighter stronger smarter batteries.. # tesla # samsung # storage # powerwall # battery # accu https://techcrunch.com/2017/01/09/next-gen-samsung-ev-battery-gets-300-miles-of-range-from-a-20-minute-charge/ …pic.twitter.com/4NKGO0Cwvc";;;# # # # # #;"818614137660051456";https://twitter.com/climatebabes/status/818614137660051456
deaconrogers;2017-01-09 16:10;0;1;"PhD Level # Customer Service: How Musk Listened To A # Twitter Complaint And Changed # Tesla Policy @ justinjbariso http://ow.ly/y7DS307Pu21 @ Incpic.twitter.com/1FoiFzBs9k";;@ @;# # #;"818610853817806849";https://twitter.com/deaconrogers/status/818610853817806849
lockhartconsult;2017-01-09 16:06;0;0;"Tesla Flips the Switch on the Gigafactory - Bloomberg https://www.bloomberg.com/news/articles/2017-01-04/tesla-flips-the-switch-on-the-gigafactory?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter …pic.twitter.com/k35lNnEtuG";;;;"818609856710053888";https://twitter.com/lockhartconsult/status/818609856710053888
