username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sinutkomorgan;2015-11-01 14:18;0;2;"Vision, tenacity & passion drive @ Treehouse with # IoT suppliers @ Nest @ Tesla @ BigAssFans. http://buff.ly/1Kz6jOv # startup # plumlife # ATX";;@ @ @ @;# # # #;"660944145683456004";https://twitter.com/sinutkomorgan/status/660944145683456004
qz;2015-11-01 13:10;14;19;"Teachable moments: Tesla’s self-driving car is already getting smarter http://qz.com/538436/tesla-model-s-autopilot/ …pic.twitter.com/PzyjKytTM7";;;;"660926823602126849";https://twitter.com/qz/status/660926823602126849
DebbiePopkin;2015-11-01 07:45;1;1;"A Geek's Dream: Tesla Races DeLorean In "Back To The Future" VR Experience http://bit.ly/1LOXDod  by @ greeterdanpic.twitter.com/bSW95CryfA";;@;;"660844999479791617";https://twitter.com/DebbiePopkin/status/660844999479791617
ForbesTech;2015-11-01 06:30;24;15;"Tesla's experiencing "the trifecta of doom for any automaker," says the man behind the Chevy Volt: http://onforb.es/1MroRYz";;;;"660826124507865088";https://twitter.com/ForbesTech/status/660826124507865088
VentureBeat;2015-10-31 21:00;11;12;"Is Tesla's Model X sun visor design genius, or overkill? http://wp.me/p5hvhT-7GhA pic.twitter.com/foTTWYPBMS";;;;"660667611747909633";https://twitter.com/VentureBeat/status/660667611747909633
CNET;2015-10-31 18:19;31;33;"Tesla, Consumer Reports and the art of doing your research http://cnet.co/1M8772v pic.twitter.com/KGxIEXaie4";;;;"660627077696241665";https://twitter.com/CNET/status/660627077696241665
zaibatsu;2015-11-01 15:05;8;10;"Tesla’s self-driving car is already getting smarter: http://qz.com/538436/tesla-model-s-autopilot/ … # technologypic.twitter.com/pGxnxnoJpz";;;#;"660955770184474625";https://twitter.com/zaibatsu/status/660955770184474625
jacobmolz;2015-11-01 07:45;1;1;"A Geek's Dream: Tesla Races DeLorean In "Back To The Future" VR Experience http://bit.ly/1LOXDoc  by @ greeterdanpic.twitter.com/8BHgClugPl";;@;;"660844999249121280";https://twitter.com/jacobmolz/status/660844999249121280
Cotef66;2015-11-01 07:30;1;0;"TECHNO - Tesla et son pilote (presque) automatique # lapresseplus # assurance # autohttp://plus.lapresse.ca/screens/30a83837-170b-4464-a55c-49ce217ad052%7C_0.html …";;;# # #;"660841362712100864";https://twitter.com/Cotef66/status/660841362712100864
evankirstel;2015-10-31 21:20;0;1;"Is Tesla’s Model X sun visor design genius, or overkill? http://buff.ly/1RkXMo0";;;;"660672621546242048";https://twitter.com/evankirstel/status/660672621546242048
evankirstel;2015-10-31 19:43;1;3;"Tesla, Consumer Reports and the art of doing your research by @ andrewkrok on @ CNET http://www.cnet.com/news/tesla-consumer-reports-and-the-art-of-doing-research/ …pic.twitter.com/1OaY1pSF3P";;@ @;;"660648316200288256";https://twitter.com/evankirstel/status/660648316200288256
fernandez_jfm;2015-10-31 18:47;3;0;"# Business Bob Lutz Is Wrong About Tesla, Right About The Volt: Devon, PA -- Tesla Motors i... http://onforb.es/1NgZM1d # IBM @ IBM_DS_Europe";;@;# #;"660634249700114432";https://twitter.com/fernandez_jfm/status/660634249700114432
StribBiz;2015-10-31 17:19;0;0;"Google, Tesla, others wait for DMV's self-driving rules. http://strib.mn/1KNrOvf pic.twitter.com/ltFJGDj81D";;;;"660611968911454208";https://twitter.com/StribBiz/status/660611968911454208
