username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SAI;2014-04-22 13:22;13;6;"ELON MUSK: Tesla could spend "hundreds of millions" on charging stations in China http://read.bi/PribgD";;;;"458702359129247744";https://twitter.com/SAI/status/458702359129247744
MarketWatch;2014-04-22 07:51;44;21;"Tesla shares now up more than 5% after Musk vows to build cars in China. http://on.mktw.net/1ictu2W $ TSLApic.twitter.com/8BY3JSiY2e";;;;"458619139377360896";https://twitter.com/MarketWatch/status/458619139377360896
engadget;2014-04-22 06:31;27;24;"Tesla opens 100th Supercharger... in a state where sales are banned http://engt.co/1nElME7";;;;"458598863608508416";https://twitter.com/engadget/status/458598863608508416
CNNMoney;2014-04-22 04:42;70;38;"# Tesla is planning to build its electric cars in # China via @ CRrileyCNN http://cnnmon.ie/1k2OayL pic.twitter.com/Q1tPylpErQ";;@;# #;"458571666269155328";https://twitter.com/CNNMoney/status/458571666269155328
FinancialTimes;2014-04-22 04:15;11;1;"Tesla starts delayed charge into China http://on.ft.com/1eZRMm6";;;;"458564797202575361";https://twitter.com/FinancialTimes/status/458564797202575361
YahooFinance;2014-04-22 04:08;12;9;"Tesla delivers first China cars, plans expansion http://yhoo.it/1mzaNOX $ TSLA";;;;"458563028876005376";https://twitter.com/YahooFinance/status/458563028876005376
BI_contributors;2014-04-22 13:22;4;3;"ELON MUSK: Tesla could spend "hundreds of millions" on charging stations in China http://read.bi/PribgD";;;;"458702356331249665";https://twitter.com/BI_contributors/status/458702356331249665
latimes;2014-04-22 09:03;23;10;"Tesla delivers its first electric cars in China; delays upset some http://lat.ms/1txdOke";;;;"458637136418586624";https://twitter.com/latimes/status/458637136418586624
FT;2014-04-22 06:26;10;5;"Tesla starts delayed charge into China http://on.ft.com/1f0pw2K";;;;"458597604721688576";https://twitter.com/FT/status/458597604721688576
afabbiano;2014-04-22 04:13;0;0;"Tesla to build cars in China: Elon Musk says that Tesla is planning to build a manufacturing facility in China... http://bit.ly/1i5oVwq";;;;"458564178471448577";https://twitter.com/afabbiano/status/458564178471448577
greensboro_nc;2014-04-22 03:23;3;1;"Tesla CEO: Panasonic Likely Partner in Battery Plant - Wall Street Journal http://nc.gs/1haTboI # business";;;#;"458551677583253504";https://twitter.com/greensboro_nc/status/458551677583253504
EdmondLococo;2014-04-21 17:55;23;11;"Musk says Tesla will make cars in # China in next 3-4 Years http://bloom.bg/1fceemH  via @BloombergNews $ TSLA";;@BloombergNews;#;"458408756762529792";https://twitter.com/EdmondLococo/status/458408756762529792
lawnguybri;2014-04-21 17:48;0;0;"via @ nprnews: Tesla Swings At Direct-Sale Bans As Bigger Fight Awaits http://n.pr/1qsAbDf";;@;;"458406868738904064";https://twitter.com/lawnguybri/status/458406868738904064
China_Forum;2014-04-21 17:20;0;0;"Tesla's Delays Upset Some China Customers - Wall Street Journal http://dlvr.it/5SM5h5";;;;"458399834718756864";https://twitter.com/China_Forum/status/458399834718756864
