username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ziromr;2017-11-06 10:43;0;1;"Wie viele Vertragshändler hat Tesla, die die ganzen Bauteile manuell reinschrauben? 0? https://www.golem.de/news/ungewoehnliche-methode-tesla-haendler-bauen-autos-teilweise-selbst-zusammen-1711-130982.html …";;;;"927607304895287297";https://twitter.com/ziromr/status/927607304895287297
FOCUS_TopNews;2017-11-06 05:56;1;0;"Händler montieren Autos angeblich von Hand - Einige Tesla-Kunden müssen bis Januar 2019 auf ihr Model 3 warten http://www.focus.de/auto/elektroauto/tesla-model-3-einige-tesla-kunden-muessen-bis-januar-2019-auf-ihr-auto-warten_id_7808140.html?rnd=80ffdf5c1ae561f862656a23f372109d …";;;;"927535047942508544";https://twitter.com/FOCUS_TopNews/status/927535047942508544
mobltcamp;2017-11-06 02:56;0;0;"# Tesla Model 3 zum selbst zusammenbauen: Autos verlassen Fabrik ohne Sitze & Displays. http://ow.ly/dfRU30gnsKz  via @ WIRED_Germany # mobility";;@;# #;"927489748146548737";https://twitter.com/mobltcamp/status/927489748146548737
mainpcerlenbach;2017-11-06 02:04;0;0;"Elektroauto: Tesla lädt zur E-Truck-Präsentation http://ift.tt/2y7rk5r  Erst das Tesla Model 3 und Puerto Rico: Tesla hatte die Präsentat…";;;;"927476809280688129";https://twitter.com/mainpcerlenbach/status/927476809280688129
golem;2017-11-06 01:35;0;3;"Elektroauto: Tesla lädt zur E-Truck-Präsentation # elektromobilitäthttps://glm.io/130984?t";;;#;"927469409651888128";https://twitter.com/golem/status/927469409651888128
greiten;2017-11-06 00:37;0;1;"Selbstreflexion null: @ VW-Chef kritisiert @ Tesla "Vernichtet Geld und schmeißt Mitarbeiter raus" https://www.heise.de/newsticker/meldung/VW-Chef-kritisiert-Tesla-Vernichtet-Geld-und-schmeisst-Mitarbeiter-raus-3866221.html … @ mdierker";;@ @ @;;"927454959158857728";https://twitter.com/greiten/status/927454959158857728
SocializerHub;2017-11-06 00:27;0;0;"Tesla: Händler müssen Model 3 selbst zusammenbauen: http://ift.tt/2hJrFoH  - # AIDrivenMarketing - November 6, 2017 at 09:24AM by @ Sociali…";;@;#;"927452288158801925";https://twitter.com/SocializerHub/status/927452288158801925
JCStrich;2017-11-05 23:11;0;0;"Tesla: Bei Elon Musk liegen jetzt die Nerven blank - WELT http://crwd.fr/2h7d1KR";;;;"927433145032388608";https://twitter.com/JCStrich/status/927433145032388608
golem;2017-11-05 22:53;2;5;"Elektroauto: # Tesla beschleunigt sanft und verrückt Sitze https://glm.io/130979?t";;;#;"927428624000606210";https://twitter.com/golem/status/927428624000606210
golem;2017-11-05 22:18;7;5;"Ungewöhnliche Methode: Tesla-Händler bauen Autos teilweise selbst zusammen # Tesla https://glm.io/130982?t";;;#;"927419827056242688";https://twitter.com/golem/status/927419827056242688
focusauto;2017-11-06 06:00;0;0;"Händler montieren Autos angeblich von Hand - Einige Tesla-Kunden müssen bis Januar 2019 auf ihr Model 3 warten http://www.focus.de/auto/elektroauto/tesla-model-3-einige-tesla-kunden-muessen-bis-januar-2019-auf-ihr-auto-warten_id_7808140.html?rnd=80ffdf5c1ae561f862656a23f372109d …";;;;"927536137224286209";https://twitter.com/focusauto/status/927536137224286209
enerson_de;2017-11-06 05:28;0;0;"Unzureichende Automatisierung / Digitalisierung? Tesla-Händler bauen Autos teilweise selbst zusammen | # enersonhttp://www.golem.de/news/ungewoehnliche-methode-tesla-haendler-bauen-autos-teilweise-selbst-zusammen-1711-130982.html …";;;#;"927528091974537216";https://twitter.com/enerson_de/status/927528091974537216
pschay;2017-11-06 01:53;0;0;"Elektroauto: Tesla lädt zur E-Truck-Präsentation https://www.golem.de/news/elektroauto-tesla-laedt-zur-e-truck-praesentation-1711-130984-rss.html … # emobility";;;#;"927473969875255297";https://twitter.com/pschay/status/927473969875255297
EbertFabi;2017-11-06 00:31;0;0;"Tesla: Händler müssen Model 3 selbst zusammenbauen: http://ift.tt/2hJrFoH  - # AIDrivenMarketing - November 6, 2017 at 09:24AM by @EbertFa…";;@EbertFa;#;"927453314698108933";https://twitter.com/EbertFabi/status/927453314698108933
TechDeutsch;2017-11-05 23:05;0;1;"Elektroauto: Tesla beschleunigt sanft und verrückt Sitze https://goo.gl/xx53Tw";;;;"927431628703412224";https://twitter.com/TechDeutsch/status/927431628703412224
mainpcerlenbach;2017-11-05 22:20;0;0;"Ungewöhnliche Methode: Tesla-Händler bauen Autos teilweise selbst zusammen http://ift.tt/2hKQtfX  Tesla wendet eine ungewöhnliche Methode…";;;;"927420313712975873";https://twitter.com/mainpcerlenbach/status/927420313712975873
ALX_BLOG;2017-11-05 22:18;0;0;"Ungewöhnliche Methode: Tesla-Händler bauen Autos teilweise selbst zusammen # Tesla https://glm.io/130982?t";;;#;"927419883347939328";https://twitter.com/ALX_BLOG/status/927419883347939328
Essence2Success;2017-11-05 22:11;1;3;"The “Tesla of eco-villages” is developing off-grid villages that grow their own food and generate their own power http://www.businessinsider.com/self-sufficient-village-regen-2016-9 …";;;;"927418099371933697";https://twitter.com/Essence2Success/status/927418099371933697
EcvanGils;2017-11-05 22:00;0;1;"Tesla is going through a rough patch. Pushing the envelope is never easy. # ev @ Tesla https://www.washingtonpost.com/news/innovations/wp/2017/11/03/sleepless-nights-broken-robots-and-mounting-pressure-musk-offers-rare-glimpse-inside-teslas-production-hell/ …pic.twitter.com/qxpCwsYt2v";;@;#;"927415344335073280";https://twitter.com/EcvanGils/status/927415344335073280
ElFinanciero_Mx;2017-11-05 22:00;8;5;". @ Tesla anuncia la mayor pérdida de su historia... y demoras del Model 3. http://bit.ly/2iU9eB9 pic.twitter.com/3AM2z6cTcu";;@;;"927415248533032960";https://twitter.com/ElFinanciero_Mx/status/927415248533032960
