username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WSJ;2015-09-15 16:41;91;70;"Can Apple be better on privacy while keeping up with Google? @ geoffreyfowler has a look at iOS 9:http://on.wsj.com/1KdSYyv";;@;;"643932579322839041";https://twitter.com/WSJ/status/643932579322839041
digitalcourage;2015-09-15 14:51;1;0;"Mehr Daten. Mehr wissen. Google wriß mehr als Apple. http://m.welt.de/wirtschaft/webwelt/article146281474/Was-Apple-beim-neuen-iPhone-6S-verschwiegen-hat.html …";;;;"643905032140795904";https://twitter.com/digitalcourage/status/643905032140795904
handelsblatt;2015-09-15 14:46;4;1;"Wie schneidet das # Apple # ipadpro im Vergleich zu seinem Rivalen # Microsoft # SurfacePro3 ab?http://www.handelsblatt.com/technik/gadgets/apple-tablet-ipad-pro-das-ueber-ipad-fuer-geschaeftskunden/12307610.html?social=twitter …";;;# # # #;"643903633835225089";https://twitter.com/handelsblatt/status/643903633835225089
myamy_vicy;2015-09-15 14:05;0;0;"Schöne Infografiken von @ DIEZEIT zu # Apple und 8.000.000.000 Euro nicht gezahlter # Steuernhttp://www.zeit.de/wirtschaft/unternehmen/2015-09/iphone-apple-steuern-europa …";;@;# #;"643893474010505216";https://twitter.com/myamy_vicy/status/643893474010505216
CHIP_online;2015-09-15 14:00;3;5;"# iPhone6s Plus ist vorerst ausverkauft: Ab jetzt müssen # Apple-Fans Wochen warten! http://chip.li/Ee8 pic.twitter.com/LjOAk16IKV";;;# #;"643892104796721152";https://twitter.com/CHIP_online/status/643892104796721152
NYDailyNews;2015-09-15 13:59;451;292;"Apple is looking into letting you delete default iPhone apps such as Stocks and Compass. http://nydn.us/1itpDaq pic.twitter.com/1kqMD7LImk";;;;"643891808456560640";https://twitter.com/NYDailyNews/status/643891808456560640
CNNMoney;2015-09-15 16:46;70;65;"Apple is working on a way for you to delete those pesky built-in apps, @ tim_cook says http://cnnmon.ie/1NBXY3T pic.twitter.com/jqUSY6JHbG";;@;;"643934053691953152";https://twitter.com/CNNMoney/status/643934053691953152
WIRED;2015-09-15 16:06;51;62;"Meet NYC's iPhone doctor. He's the Apple Genius bar gone mobile. http://wrd.cm/1QDUf44 pic.twitter.com/mklTkmvP5X";;;;"643923775000604674";https://twitter.com/WIRED/status/643923775000604674
CHIP_Testcenter;2015-09-15 14:00;0;1;"# iPhone6s Plus ist vorerst ausverkauft: Ab jetzt müssen # Apple-Fans Wochen warten! http://chip.li/Ee2 pic.twitter.com/Zrqa8Q0I4F";;;# #;"643892105006465024";https://twitter.com/CHIP_Testcenter/status/643892105006465024
timesofindia;2015-09-15 13:50;67;54;"Modi will meet Apple CEO Tim Cook in San Francisco during his US visit http://timesofindia.indiatimes.com/india/Narendra-Modi-will-meet-Apple-CEO-Tim-Cook-in-San-Francisco-during-his-US-visit/articleshow/48978411.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia …";;;;"643889549672755200";https://twitter.com/timesofindia/status/643889549672755200
WIRED;2015-09-15 13:39;74;64;"Here are the highlights of Apple's upcoming iOS 9 http://wrd.cm/1QDPY0E";;;;"643886929315020800";https://twitter.com/WIRED/status/643886929315020800
wlstcom;2015-09-15 13:00;0;0;"Exxon + Wal-Mart + Chevron + $7 Billion = Apple $ K http://wlst.com  http://blogs.wsj.com/moneybeat/2015/09/15/exxon-wal-mart-chevron-7-billion-apple …pic.twitter.com/gL2srGPnY8";;;;"643877014437527553";https://twitter.com/wlstcom/status/643877014437527553
wjrothman;2015-09-15 12:57;120;100;"What the iPhone can see that Apple itself can't—and more iOS 9 facts—from @ geoffreyfowler: http://www.wsj.com/articles/what-your-iphone-doesnt-tell-apple-1442338939 …pic.twitter.com/zKgz48Z6S3";;@;;"643876336247918593";https://twitter.com/wjrothman/status/643876336247918593
axiomer;2015-09-15 12:25;0;0;"Die Steuerspar-Tricks von # Apple kosteten Europa in den letzten fünf Jahren 8 Mrd. Euro http://www.zeit.de/wirtschaft/unternehmen/2015-09/iphone-apple-steuern-europa … # steuern";;;# #;"643868199952494593";https://twitter.com/axiomer/status/643868199952494593
AKDigiGes;2015-09-15 11:28;0;1;"# Apple - Warum uns das iPhone Milliarden kostet: http://www.zeit.de/wirtschaft/unternehmen/2015-09/iphone-apple-steuern-europa …";;;#;"643853838814978048";https://twitter.com/AKDigiGes/status/643853838814978048
Systemfrage;2015-09-15 11:21;0;0;"Apple könnte bald Daimler übernehmen: Im Vorfeld der IAA, die diese Woche in Frankfurt erö... http://bit.ly/1QDspF8 # Blog # Kapitalismus";;;# #;"643852225043931136";https://twitter.com/Systemfrage/status/643852225043931136
axelmobil;2015-09-15 10:54;0;1;"Lang lebe # Surface! # IPadPro und warum es ein Geschenk von # Apple für # Microsoft ist. http://www.handelsblatt.com/technik/gadgets/apple-tablet-ipad-pro-das-ueber-ipad-fuer-geschaeftskunden/12307610.html … # Handelsblatt $ MSFT";;;# # # # #;"643845447623249920";https://twitter.com/axelmobil/status/643845447623249920
sven_giegold;2015-09-15 10:22;39;21;"Ein ganz übles Gewinnmodell: Apple hat mit dem iPhone 8 Mrd Steuern in Europa geprellt! http://www.zeit.de/wirtschaft/unternehmen/2015-09/iphone-apple-steuern-europa …pic.twitter.com/hgfHtI31cb";;;;"643837330978119680";https://twitter.com/sven_giegold/status/643837330978119680
