username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Variety;2013-08-01 16:55;12;8;"How Apple may kill videogame consoles | http://variety.com/2013/biz/news/how-apple-will-kill-gaming-consoles-1200571398/ …";;;;"363085720614744066";https://twitter.com/Variety/status/363085720614744066
chgroenhuijsen;2013-08-01 16:44;3;4;"Verse Google-phone: Alles wat Apple níet doet: Heel veel keuzes, op maat (!) voor je gemaakt & Made in USA! http://www.wired.com/gadgetlab/2013/08/inside-story-of-moto-x/ …";;;;"363082851090452480";https://twitter.com/chgroenhuijsen/status/363082851090452480
Slate;2013-08-01 16:13;23;10;"Apple is stealing from its own Apple store employees: http://slate.me/1cs9D0I # repulsive # behavior";;;# #;"363075003447017472";https://twitter.com/Slate/status/363075003447017472
StarTribune;2013-08-01 15:53;14;0;"3 Mpls. cops arrested in Apple Valley bar fight; 1 used racial slur | http://strib.mn/16ncg16";;;;"363069887209406465";https://twitter.com/StarTribune/status/363069887209406465
HuffPost;2013-08-01 15:06;20;10;"Apple to fix big iPhone security flaw... in the fall http://huff.to/1edu0g4";;;;"363058074032283648";https://twitter.com/HuffPost/status/363058074032283648
ABC;2013-08-01 14:28;35;7;"Apple tries to patch iPhone port security flaw http://abcn.ws/15yPiTy";;;;"363048700546793473";https://twitter.com/ABC/status/363048700546793473
ActualidadRT;2013-08-01 14:15;40;9;"Explotación laboral: Apple, Amazon y McDonald's, con las manos en la masa # sociedadhttp://es.rt.com/qom";;;#;"363045369485074432";https://twitter.com/ActualidadRT/status/363045369485074432
businessinsider;2013-08-01 12:12;18;6;"Apple just acquired a company that could help make the chip for the iWatch http://read.bi/11xtzL7";;;;"363014461613162496";https://twitter.com/businessinsider/status/363014461613162496
MarketWatch;2013-08-01 16:13;7;3;"Could Apple's Mansfield be working on something so top-secret that no outsider has even heard about it? http://on.mktw.net/15yqVVY";;;;"363074944491454464";https://twitter.com/MarketWatch/status/363074944491454464
FinancialTimes;2013-08-01 15:29;6;1;"Apple patent ruling delay shifts spotlight on Obama http://on.ft.com/17Wv864";;;;"363063881683701760";https://twitter.com/FinancialTimes/status/363063881683701760
Majstar7;2013-08-01 15:00;7;1;"Australian woman pays £900 for two REAL Apples after trying to buy a pair of iPhones on Gumtree website http://www.dailymail.co.uk/news/article-2382599/Woman-pays-900-2-apples-instead-iPhones-Gumtree.html …";;;;"363056655899955204";https://twitter.com/Majstar7/status/363056655899955204
iansherr;2013-08-01 13:32;29;12;"What's going on at Apple Retail? As it searches for a leader, employees & anlaysts say it's suffering from sameness: http://on.wsj.com/1cixYrc";;;;"363034562319757312";https://twitter.com/iansherr/status/363034562319757312
robhof;2013-08-01 13:19;3;3;"Should Apple Be Worried About The Moto X Smartphone? http://onforb.es/143caL2 # motox $ aapl $ goog";;;#;"363031160382685184";https://twitter.com/robhof/status/363031160382685184
VEJA;2013-08-01 12:20;39;5;"Apple admite falha no iOS 7 que deixa iPhone vulnerável a ataques http://goo.gl/FalzQM";;;;"363016286567428096";https://twitter.com/VEJA/status/363016286567428096
Forbes;2013-08-01 12:15;87;18;"Apple and Google among top U.S. companies parking cash offshore to reduce taxes, study says http://bit.ly/13ySI5y";;;;"363015059359797248";https://twitter.com/Forbes/status/363015059359797248
SAI;2013-08-01 12:12;8;3;"Apple just acquired a company that could help make the chip for the iWatch http://read.bi/11xtzL7";;;;"363014462376521728";https://twitter.com/SAI/status/363014462376521728
CNET;2013-08-01 11:55;18;4;"Report: Apple has bought another chipmaker, Passif Semiconductor, which makes low-power communications chips http://cnet.co/16JziNs";;;;"363010023166722048";https://twitter.com/CNET/status/363010023166722048
TechCrunch;2013-08-01 11:37;24;13;"Apple Acquires Low-Energy Chipmaker Passif, Could Boost Passive Communication Efforts http://tcrn.ch/142ZJ1Y  by @ drizzled";;@;;"363005572422975488";https://twitter.com/TechCrunch/status/363005572422975488
