username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MarketWatch;2017-12-11 15:58;65;96;"Apple made less than $100 million by selling stock — 4.6 million shares at $22 — on this date in 1980. Massachusetts regulators wouldn’t let investors touch it. http://on.mktw.net/2BTtKWQ";;;;"940370329419083776";https://twitter.com/MarketWatch/status/940370329419083776
PlaysTrumpCard;2017-12-11 15:15;103;197;"If I was a @ CNN apple, I'd volunteer for the cider squad. http://www.foxnews.com/entertainment/2017/12/11/cnn-quietly-backtracks-another-report-tying-trump-campaign-to-russia.html …";;@;;"940359344905957376";https://twitter.com/PlaysTrumpCard/status/940359344905957376
andrearomansorg;2017-12-11 14:37;0;2;"Apples Chefdesigner ist zurück http://plus.faz.net/unternehmen/2017-12-12/c39d4273259e6ea00082cb216700a10d?GEPC=s3 … # FAZplus via @ faznet";;@;#;"940349762611695617";https://twitter.com/andrearomansorg/status/940349762611695617
Kiezkickerde;2017-12-11 14:32;0;0;"# Apple will Musik-Erkenner # Shazam kaufen? | heise online https://m.heise.de/newsticker/meldung/Apple-will-Musik-Erkenner-Shazam-kaufen-3914644.html … /// Mir egal, weil # SoundHound eh besser ist, denn das erkennt sogar selbst nachgesungene Songs recht zuverlässig: https://play.google.com/store/apps/details?id=com.melodis.midomiMusicIdentifier.freemium … # android # musik # erkennung # app";;;# # # # # # #;"940348516802682880";https://twitter.com/Kiezkickerde/status/940348516802682880
atheist_zh;2017-12-11 14:29;0;0;"Apple-Chef Cook hofft auf Einlenken Chinas - Handelsblatt http://www.handelsblatt.com/unternehmen/it-medien/zensur-im-app-store-apple-chef-cook-hofft-auf-einlenken-chinas/20677848.html …";;;;"940347722011422720";https://twitter.com/atheist_zh/status/940347722011422720
neueappsandroid;2017-12-11 14:24;0;0;"Apple übernimmt Shazam - Heise Newsticker http://dlvr.it/Q5TYKK # android # germanypic.twitter.com/WIqkWrAkY3";;;# #;"940346479692062720";https://twitter.com/neueappsandroid/status/940346479692062720
Reuters;2017-12-11 14:20;80;79;"Apple confirms deal to buy music discovery app Shazam http://reut.rs/2z2axn9";;;;"940345493007360001";https://twitter.com/Reuters/status/940345493007360001
CNN;2017-12-11 14:13;317;559;"Siri, what's that song? Apple has confirmed it is buying Shazam. http://cnn.it/2Ae5gqU pic.twitter.com/tdVDFNLNr4";;;;"940343762697572352";https://twitter.com/CNN/status/940343762697572352
mashable;2017-12-11 13:47;83;115;"Apple is buying Shazam http://on.mash.to/2nMFLuI pic.twitter.com/fVagZlflVi";;;;"940337161680904193";https://twitter.com/mashable/status/940337161680904193
SkyNews;2017-12-11 13:28;32;54;"Apple has confirmed it is snapping up UK-based song-recognition app Shazam as it squares up to rival Spotify in the music streaming market https://trib.al/n2bUFeX";;;;"940332610542362634";https://twitter.com/SkyNews/status/940332610542362634
g1;2017-12-11 13:15;13;73;"Apple compra aplicativo Shazam https://glo.bo/2jxnznV # G1pic.twitter.com/OYIHwLm23r";;;#;"940329092523495424";https://twitter.com/g1/status/940329092523495424
CarinaMaier75;2017-12-11 13:01;0;0;"http://goo.gl/wRfgXK  Bestätigt: Apple kauft Shazam - Apple hat die Übernahme der Musik-App Shazam bestätigt. Der Konzern habe „aufregende Pläne“ für die Integration von Shazam. Welche das sind, wurde aber nicht verraten. Shazam: Apple schluckt App ... http://ow.ly/HZvD50fEVYI";;;;"940325662736384000";https://twitter.com/CarinaMaier75/status/940325662736384000
okasanman;2017-12-11 15:56;22;23;"Apple、2018年上半期にiPhone 7を2000万台生産(ITmedia) http://www.itmedia.co.jp/news/articles/1712/12/news055.html …";;;;"940369670774726656";https://twitter.com/okasanman/status/940369670774726656
NYDailyNews;2017-12-11 15:11;18;22;"EXCLUSIVE: President Trump and several members of his family were not in the Big Apple Nov. 7 when voters went the polls, so they voted by absentee ballot. Or at least they tried to. http://nydn.us/2BAd5v6";;;;"940358281654042624";https://twitter.com/NYDailyNews/status/940358281654042624
ReutersBiz;2017-12-11 15:00;12;10;"Apple confirms deal to buy music discovery app Shazam http://reut.rs/2AbUmBE";;;;"940355532967350272";https://twitter.com/ReutersBiz/status/940355532967350272
troyhunt;2017-12-11 14:51;6;10;"Unusual form for Apple: https://techcrunch.com/2017/12/11/apple-knockoff-myetherwallet-ios/ …";;;;"940353493252022272";https://twitter.com/troyhunt/status/940353493252022272
thehill;2017-12-11 14:43;32;28;"Apple to purchase Shazam http://hill.cm/rwR1xqS pic.twitter.com/7tIC9j5qIL";;;;"940351253279924225";https://twitter.com/thehill/status/940351253279924225
DefendingDemo;2017-12-11 14:22;19;13;"There are different ways of reading this article. One is positive: US refuses to compare apples with pears -- and declines to give up # democracy promotion in Russia # DefendingDemocracyhttps://www.buzzfeed.com/johnhudson/no-deal-how-secret-talks-with-russia-to-prevent-election?utm_term=.geK2Z2w7j#.efqv2vNnw …";;;# # #;"940346129006387201";https://twitter.com/DefendingDemo/status/940346129006387201
cnni;2017-12-11 14:19;111;124;"Siri, what's that song? Apple has confirmed it is buying Shazam. http://cnn.it/2z1hq84 pic.twitter.com/0pxVdm6F42";;;;"940345219870068736";https://twitter.com/cnni/status/940345219870068736
marceloclaure;2017-12-11 14:18;8;37;"Very happy to see @ TIDAL added to Apple CarPlay. Great way for @ Sprint customers to make use of # unlimited! http://sprint.co/2kjmGvf pic.twitter.com/1f5QQjQkM3";;@ @;#;"940344948230119424";https://twitter.com/marceloclaure/status/940344948230119424
business;2017-12-11 14:14;14;23;"Amazon music gives Spotify and Apple a run for their money https://bloom.bg/2ygc0Tc pic.twitter.com/jneb97qWLd";;;;"940343981363298304";https://twitter.com/business/status/940343981363298304
newsycombinator;2017-12-11 14:00;13;15;"Apple Buys Shazam to Boost Apple Music https://www.bloomberg.com/news/articles/2017-12-11/apple-buys-early-iphone-app-hit-shazam-to-boost-apple-music …";;;;"940340541044215808";https://twitter.com/newsycombinator/status/940340541044215808
DigitalLeft;2017-12-11 13:04;21;17;"Apple is getting $47 billion in tax breaks, while Republicans claim they can't find the money to fund a program for health insurance for children. Are these our priorities? Reward the already wealthy while our children get sick and don't get care? https://buff.ly/2BDRKko";;;;"940326364997177344";https://twitter.com/DigitalLeft/status/940326364997177344
Reuters;2017-12-11 12:50;54;106;"Apple removes app after MyEtherWallet complaint http://reut.rs/2z2eGHF";;;;"940322842192773120";https://twitter.com/Reuters/status/940322842192773120
AndyLenz;2017-12-11 12:46;0;0;"Apple schnappt sich angeblich Shazam http://t3n.de/news/apple-kauft-angeblich-shazam-884688/?utm_source=twitter.com&utm_medium=social&utm_campaign=social-buttons …";;;;"940321882112344064";https://twitter.com/AndyLenz/status/940321882112344064
Deutschland_BRD;2017-12-11 12:15;0;0;"Melodien für Millionen Dollar: Apple kauft Shazam - Apple hat ein Problem: Sein Musikdienst zündet nicht richtig. Jetzt probiert der Konzern es mit einem Zukauf – und nimmt dafür Hunderte Millionen in die Hand. http://ow.ly/8Vfo50fETDE";;;;"940314161413853185";https://twitter.com/Deutschland_BRD/status/940314161413853185
arstechnica;2017-12-11 12:10;77;56;"Apple has acquired Shazam http://arstechnica.com/gadgets/2017/12/apple-has-acquired-shazam/ … by @ SamuelAxon";;@;;"940312822457753600";https://twitter.com/arstechnica/status/940312822457753600
tweet_this_feed;2017-12-11 11:53;0;0;"heise online: Apple übernimmt Shazam http://dlvr.it/Q5Sg7P";;;;"940308481319374849";https://twitter.com/tweet_this_feed/status/940308481319374849
mariuskarma;2017-12-11 11:51;0;0;"Apple: Jony Ive kehrt zurück auf Posten des Chef-Designers | Mac & i https://www.heise.de/mac-and-i/meldung/Apple-Jony-Ive-kehrt-zurueck-auf-Posten-des-Chef-Designers-3914850.html …";;;;"940308108102066178";https://twitter.com/mariuskarma/status/940308108102066178
guardian;2017-12-11 11:33;60;42;"Apple buys Shazam for reported $400m https://trib.al/01FIePJ";;;;"940303486977298432";https://twitter.com/guardian/status/940303486977298432
TIME;2017-12-11 11:30;86;112;"Apple just bought Shazam. Here's what we know http://ti.me/2AMRlsR";;;;"940302786759143426";https://twitter.com/TIME/status/940302786759143426
CNET;2017-12-11 11:30;56;75;"Apple is buying Shazam, possibly to bump up their very own Apple Music http://cnet.co/2ALRhJM pic.twitter.com/EtfLsweNe8";;;;"940302675714953216";https://twitter.com/CNET/status/940302675714953216
FAZ_NET;2017-12-11 11:12;1;2;"Melodien für Millionen Dollar: Apple kauft Shazam http://www.faz.net/aktuell/wirtschaft/diginomics/apple-kauft-shazam-15336372.html …";;;;"940298214191878144";https://twitter.com/FAZ_NET/status/940298214191878144
FAZ_Wirtschaft;2017-12-11 11:12;1;2;"Melodien für Millionen Dollar: Apple kauft Shazam http://www.faz.net/aktuell/wirtschaft/diginomics/apple-kauft-shazam-15336372.html …";;;;"940298213046865921";https://twitter.com/FAZ_Wirtschaft/status/940298213046865921
Variety;2017-12-11 11:07;36;43;"It’s official: Apple is buying the music recognition service Shazam http://bit.ly/2AMHqU9 pic.twitter.com/3VDkGBBgUU";;;;"940296880247988224";https://twitter.com/Variety/status/940296880247988224
CNN;2017-12-11 10:50;434;556;"Siri, what's that song? Apple buys Shazam: http://cnn.it/2nU3p90 pic.twitter.com/YC8iPPs2jd";;;;"940292629232791552";https://twitter.com/CNN/status/940292629232791552
nikkiwunderkind;2017-12-11 10:49;0;1;"Jony Ive: Apples Chefdesigner kümmert sich wieder um die Produkte http://www.faz.net/-ikh-94oqb?GEPC=s3 … via @ faznet";;@;;"940292417575583744";https://twitter.com/nikkiwunderkind/status/940292417575583744
vrenita81;2017-12-11 10:32;0;0;"http://bit.ly/web-bo  Bestätigt: Apple kauft Shazam - Apple hat die Übernahme der Musik-App Shazam bestätigt. Der Konzern habe „aufregende Pläne“ für die Integration von Shazam. Welche das sind, wurde aber nicht verraten. Shazam: Apple schluckt App ... http://ow.ly/724350fEOgD";;;;"940288206611865600";https://twitter.com/vrenita81/status/940288206611865600
t3n;2017-12-11 10:14;4;6;"„Aufregende Pläne“: Apple bestätigt Shazam-Kauf http://t3n.de/news/apple-kauft-angeblich-shazam-884688/ …pic.twitter.com/N6sY6vHStc";;;;"940283764571344898";https://twitter.com/t3n/status/940283764571344898
heiseonline;2017-12-11 10:06;18;10;"Apple übernimmt Shazam https://www.heise.de/newsticker/meldung/Apple-uebernimmt-Shazam-3915615.html … # AppleMusic # Apple";;;# #;"940281559994830848";https://twitter.com/heiseonline/status/940281559994830848
Wulf_Bloody;2017-12-11 10:02;0;1;"Kryptowährung: Apple lässt gefälschte Wallet-App in App Store | Mac & i https://www.heise.de/mac-and-i/meldung/Kryptowaehrung-Apple-laesst-gefaelschte-Wallet-App-in-App-Store-3915420.html …";;;;"940280597016141826";https://twitter.com/Wulf_Bloody/status/940280597016141826
atheist_zh;2017-12-11 10:00;0;0;"US-Senator: Apple muss sich gegen China- # Zensur stemmen - Mac & ihttps://www.heise.de/mac-and-i/meldung/US-Senator-Apple-muss-sich-gegen-China-Zensur-stemmen-3911201.html …";;;#;"940280111009591297";https://twitter.com/atheist_zh/status/940280111009591297
ntvde;2017-12-11 09:54;3;8;"+ Apple kauft Shazam http://n-tv.io/Q5RsyT # DerTagpic.twitter.com/Jbpe7pb63C";;;#;"940278552674439168";https://twitter.com/ntvde/status/940278552674439168
cnntech;2017-12-11 09:51;253;306;"At $400 million, Shazam would be one of @ Apple's largest acquisitions ever. http://cnnmon.ie/2jPdH5y";;@;;"940277751977795584";https://twitter.com/cnntech/status/940277751977795584
Reuters;2017-12-11 09:50;99;110;"Apple confirms deal to buy music discovery app Shazam http://reut.rs/2A9CUxJ";;;;"940277525326057473";https://twitter.com/Reuters/status/940277525326057473
business;2017-12-11 09:46;153;136;"Apple buys Shazam to boost Apple Music https://bloom.bg/2AtFMdc pic.twitter.com/mQnMMPQ8hw";;;;"940276742756995072";https://twitter.com/business/status/940276742756995072
Mario_Fraenk;2017-12-11 09:40;0;0;"# Apple: Jony Ive kehrt zurück auf Posten des Chef-Designers | Mac & i http://ow.ly/4aHY30h8Jm2";;;#;"940275007934074881";https://twitter.com/Mario_Fraenk/status/940275007934074881
de_engadget;2017-12-11 09:40;0;0;"Apple kauft Shazam - http://de.engadget.com/2017/12/11/apple-kauft-shazam/ …pic.twitter.com/KNNl1Zrlzs";;;;"940274998610194432";https://twitter.com/de_engadget/status/940274998610194432
Independent;2017-12-11 09:34;531;495;"Apple just bought Shazam http://www.independent.co.uk/life-style/gadgets-and-tech/news/shazam-apple-buys-sale-how-much-latest-cost-shares-stock-price-app-store-a8104296.html …";;;;"940273560035217408";https://twitter.com/Independent/status/940273560035217408
engadget;2017-12-11 09:29;121;176;"Apple confirms it's buying music recognition app Shazam http://engt.co/2BzTlb0";;;;"940272413367062528";https://twitter.com/engadget/status/940272413367062528
AndiStarwatch;2017-12-11 09:25;0;0;"wir Deutschen brauchen vielleicht nicht alles ? TV-App von Apple jetzt auch in Deutschland - aber mit erheblichen Einschr&auml;nkungen http://www.chip.de/news/TV-App-von-Apple-jetzt-auch-in-Deutschland-aber-mit-erheblichen-Einschraenkungen_129288711.html … via @ CHIP_online";;@;;"940271392217542656";https://twitter.com/AndiStarwatch/status/940271392217542656
businessinsider;2017-12-11 09:14;90;120;"It's official: Apple is buying Shazam http://read.bi/2jtw1UY pic.twitter.com/eDOxjPDDE4";;;;"940268561716711424";https://twitter.com/businessinsider/status/940268561716711424
Variety;2017-12-11 09:07;67;57;"Apple Confirms Acquisition of Shazam http://bit.ly/2AMHqU9";;;;"940266765732499456";https://twitter.com/Variety/status/940266765732499456
tim;2017-12-11 09:02;82;128;"Apple just confirmed it is buying Shazam: “Apple Music and Shazam are a natural fit, sharing a passion for music discovery and delivering great music experiences to our users." https://www.ft.com/content/def6f336-4afb-357d-a925-2f361f0df6c7 …";;;;"940265613510918145";https://twitter.com/tim/status/940265613510918145
m_mueske;2017-12-11 09:00;1;0;"Kryptowährung: Apple lässt gefälschte Wallet-App in App Store | Mac & i https://www.heise.de/mac-and-i/meldung/Kryptowaehrung-Apple-laesst-gefaelschte-Wallet-App-in-App-Store-3915420.html …";;;;"940265054506766336";https://twitter.com/m_mueske/status/940265054506766336
Recode;2017-12-11 09:00;91;83;"Apple has bought Shazam, the music recognition app https://www.recode.net/2017/12/11/16762092/apple-shazam-deal-approval-regulators-music-streaming?utm_campaign=recode.net&utm_content=chorus&utm_medium=social&utm_source=twitter …pic.twitter.com/82K7DDpgkz";;;;"940265046839578626";https://twitter.com/Recode/status/940265046839578626
m_mueske;2017-12-11 08:58;0;0;"Autonomes "Apple Car": Apple gibt tieferen Einblick in Projekte | Mac & i https://www.heise.de/mac-and-i/meldung/Autonomes-Apple-Car-Apple-gibt-tieferen-Einblick-in-Projekte-3915090.html …";;;;"940264607104593921";https://twitter.com/m_mueske/status/940264607104593921
m_mueske;2017-12-11 08:54;0;0;"Apps aus dem Baukasten: Apple zieht die Daumenschrauben an | Mac & i https://www.heise.de/mac-and-i/meldung/Apps-aus-dem-Baukasten-Apple-zieht-die-Daumenschrauben-an-3915011.html …";;;;"940263464685142016";https://twitter.com/m_mueske/status/940263464685142016
soeren_hartmann;2017-12-11 08:05;0;0;"Das Apple geht gegen Baukasten-App-Entwickler vor. https://techcrunch.com/2017/12/08/apples-widened-ban-on-templated-apps-is-wiping-small-businesses-from-the-app-store/ … # Apps # Appstore";;;# #;"940251110140411905";https://twitter.com/soeren_hartmann/status/940251110140411905
thomas_metz;2017-12-11 07:30;0;0;"Neues iOS 11.2: Apples Flugmodus schaltet WLAN nicht immer ab http://www.golem.de/news/neues-ios-11-2-apples-flugmodus-schaltet-wlan-nicht-immer-ab-1712-131582.html … via @ golem";;@;;"940242343009116160";https://twitter.com/thomas_metz/status/940242343009116160
hanssteup;2017-12-11 07:06;0;0;"Apple: Jony Ive kehrt auf seine Position als Produktdesign-Chef zurück http://hsteup.de/2nMBeso";;;;"940236231828541440";https://twitter.com/hanssteup/status/940236231828541440
ahmed;2017-12-11 06:44;96;268;"Shazam about to be acquired by Apple. The company started in 2002 as a service where you actually placed call and held the phone up to capture music https://venturebeat.com/2012/08/31/shazam-evolution/ …";;;;"940230801328877569";https://twitter.com/ahmed/status/940230801328877569
WIRED_Germany;2017-12-11 06:41;0;0;"Ungewöhnlich offen hat # Apple den Stand bei seinen Plänen für autonomes Fahren gezeigt. Könnte ein Versuch sein, noch mehr talentierte Entwickler zu bekommen: http://bit.ly/2kXOzgA pic.twitter.com/Pysv7gd6Pi";;;#;"940230093477154818";https://twitter.com/WIRED_Germany/status/940230093477154818
mac_and_i;2017-12-11 06:41;13;4;"Kryptowährung: Apple lässt gefälschte Wallet-App in App Store https://www.heise.de/mac-and-i/meldung/Kryptowaehrung-Apple-laesst-gefaelschte-Wallet-App-in-App-Store-3915420.html … # Ethereum # Kryptowährung";;;# #;"940229964305223680";https://twitter.com/mac_and_i/status/940229964305223680
WebhodNetworks;2017-12-11 06:30;0;0;"Highend-Smartphones im Test: Das iPhone X ist nicht immer erste Wahl - Apple hat sich für das iPhone X so manches von den Android-Smartphones abgeschaut. Im c't-Test musst http://ow.ly/Hmx450fExXD";;;;"940227358761635840";https://twitter.com/WebhodNetworks/status/940227358761635840
WIRED_Germany;2017-12-11 06:30;0;0;"Übernimmt # Apple # Shazam? Was bisher bekannt ist: http://bit.ly/2BxuAw5 pic.twitter.com/I2rmzlLSfj";;;# #;"940227263789961216";https://twitter.com/WIRED_Germany/status/940227263789961216
Urli82;2017-12-11 06:12;0;0;"Apple hat sich für das iPhone X so manches von den Android-Smartphones abgeschaut. Im c't-Test musste es gegen neun davon zeigen, ob neue und alte Tugenden die Konkurrenz in Schach halten können. http://ift.tt/2AaVCoC";;;;"940222748525199361";https://twitter.com/Urli82/status/940222748525199361
de_engadget;2017-12-11 06:10;0;0;"Apple plant neue Fitness-Motivation für die Apple Watch - http://de.engadget.com/2017/12/11/apple-plant-neue-fitness-motivation-fur-die-apple-watch/ …pic.twitter.com/PHdQC4ccuB";;;;"940222152166518784";https://twitter.com/de_engadget/status/940222152166518784
powerhitsde;2017-12-11 06:09;0;0;"Apple mit einer Baustelle nach der anderen: Ist der Techriese in ernsthaften ... - http://Finanzen.net http://ift.tt/2BBev8H";;;;"940221995253358592";https://twitter.com/powerhitsde/status/940221995253358592
mac_and_i;2017-12-11 05:26;1;6;"Tipp: Tipp: App "Apple TV" taucht auf iPhone und iPad nicht auf https://www.heise.de/mac-and-i/tipps/App-Apple-TV-taucht-auf-iPhone-und-iPad-nicht-auf-3915263.html … # iOS11 # AppleTV";;;# #;"940211095167492097";https://twitter.com/mac_and_i/status/940211095167492097
comspace;2017-12-11 04:57;0;0;"# Apple führt Übernahmegespräche mit # Shazam. Die App-Funktion, die Songs in Sekundenschnelle erkennt, ist bereits in Apples Sprachsteuerung # Siri integriert. https://buff.ly/2B5cdxJ pic.twitter.com/nJsSFa1ffH";;;# # #;"940203800614395904";https://twitter.com/comspace/status/940203800614395904
FrankStocker;2017-12-11 04:18;5;5;"Warum ist der Apfel im Apple-Logo angebissen? Warum ist im Logo der Drogeriekette Rossmann ein Zentaur zu sehen? Die Lösungen zu einer Reihe geheimer Botschaften in Firmen-Logos. https://www.welt.de/wirtschaft/article171466134/In-diesen-Logos-finden-sich-verborgene-Botschaften.html … @ welt";;@;;"940193972726763520";https://twitter.com/FrankStocker/status/940193972726763520
