username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
engadgetjp;2017-05-18 15:35;50;34;"以前より噂の「血液を採らない」血糖値測定機能は、本体ではなくバンド側に搭載されるかも / 次期Apple Watchは血糖値も測れる？ 外付けオプションの「スマートバンド」に実装との噂 - Engadget Japanese http://engt.co/2rtfP5k pic.twitter.com/bRq3dNqIhy";;;;"865334942909288448";https://twitter.com/engadgetjp/status/865334942909288448
WSJTech;2017-05-18 15:27;10;5;"Apple told several Chinese social-networking apps to disable their "tip" functions. Not smart, @ LiYuan6 warnshttp://on.wsj.com/2pQthTw";;@;;"865333031019720704";https://twitter.com/WSJTech/status/865333031019720704
WIRED;2017-05-18 15:26;94;194;"Steve Jobs' last public appearance was not a keynote address, but a pitch for his final product: a new Apple campus. http://bit.ly/2qyyYET";;;;"865332860483506176";https://twitter.com/WIRED/status/865332860483506176
FastCompany;2017-05-18 15:15;19;33;". @ Apple’s new campus doesn’t have a daycare and it’s probably not by accident http://buff.ly/2rwFBp5 pic.twitter.com/GFevpH0qUs";;@;;"865329909962612738";https://twitter.com/FastCompany/status/865329909962612738
BenBajarin;2017-05-18 13:17;8;23;"Tim Cook seen testing glucose tracking Apple Watch.. Means it must close. http://www.cnbc.com/2017/05/18/apple-ceo-tim-cook-test-drove-glucose-monitor.html …";;;;"865300331802112000";https://twitter.com/BenBajarin/status/865300331802112000
chrissyfarr;2017-05-18 13:11;46;79;"Tim Cook told students that in U.S., med devices prioritize payment over user experience. And Apple can play a role: http://www.cnbc.com/2017/05/18/apple-ceo-tim-cook-test-drove-glucose-monitor.html …pic.twitter.com/iPJlIf6O1H";;;;"865298838029860864";https://twitter.com/chrissyfarr/status/865298838029860864
ahier;2017-05-18 12:55;15;24;"Apple Watch working on treating # diabetes w/ continuous # glucose monitoring @ dexcom does this already w/ watch app http://cnb.cx/2oAB1Y4 pic.twitter.com/S4fyU5RNDo";;@;# #;"865294740434046976";https://twitter.com/ahier/status/865294740434046976
CNET;2017-05-18 12:39;12;19;". @ Apple's new campus has just about everything, except daycare http://cnet.co/2pPX4vL pic.twitter.com/gNErSwf0J6";;@;;"865290651520335872";https://twitter.com/CNET/status/865290651520335872
technoradar;2017-05-18 12:28;0;0;"Apple-Music-Chef: Gratis-Musik-Streaming muss eingeschränkt werden - heise online https://www.heise.de/mac-and-i/meldung/Apple-Music-Chef-Gratis-Musik-Streaming-muss-eingeschraenkt-werden-3716729.html …";;;;"865287940251017217";https://twitter.com/technoradar/status/865287940251017217
chrissyfarr;2017-05-18 12:19;169;189;"Exclusive: Tim Cook has been test-driving a prototype glucometer on Apple Watch, hinting at future plans (source) http://www.cnbc.com/2017/05/18/apple-ceo-tim-cook-test-drove-glucose-monitor.html …";;;;"865285696654721024";https://twitter.com/chrissyfarr/status/865285696654721024
Thomas_Michl;2017-05-18 12:18;1;0;"Gegen "Recht auf Reparatur": Apple macht weiter Lobbyarbeit | @ heiseonlinehttps://www.heise.de/newsticker/meldung/Gegen-Recht-auf-Reparatur-Apple-macht-weiter-Lobbyarbeit-3717600.html?wt_mc=rss.ho.beitrag.rdf …";;@;;"865285377887797250";https://twitter.com/Thomas_Michl/status/865285377887797250
CNBC;2017-05-18 12:15;26;33;"Apple CEO Tim Cook test-drove a device that tracks his blood sugar, hinting at Apple's interest http://cnb.cx/2qxT0zt";;;;"865284799073845248";https://twitter.com/CNBC/status/865284799073845248
nypost;2017-05-18 12:02;85;65;"The Michigan tourist, identified as Alyssa Elsman, was visiting the Big Apple with her family http://nyp.st/2qxWJg7";;;;"865281335795036161";https://twitter.com/nypost/status/865281335795036161
ForbesTech;2017-05-18 12:00;29;26;"Apple Siri speaker is coming soon, here's how I think it will look http://on.forbes.com/60128irtG pic.twitter.com/6NpMNvmZUt";;;;"865280843681550336";https://twitter.com/ForbesTech/status/865280843681550336
engadget;2017-05-18 11:22;50;63;"Apple patented (and made) a pizza box to rid your life of soggy crust http://engt.co/2rjjgOM pic.twitter.com/OHOjdrFWqm";;;;"865271366135812096";https://twitter.com/engadget/status/865271366135812096
Tagesspiegel;2017-05-18 11:15;2;0;"# Google kämpft mit # Amazon und # Apple um die Vorherrschaft bei digitalen Assistenten. http://www.tagesspiegel.de/wirtschaft/sprachsteuerung-google-bringt-toaster-das-sprechen-bei/19825318.html …pic.twitter.com/nVUmQkLTbP";;;# # #;"865269747516149760";https://twitter.com/Tagesspiegel/status/865269747516149760
ForbesTech;2017-05-18 11:00;13;15;"Why Apple should cancel the iPad Mini http://on.forbes.com/60118irST pic.twitter.com/X8JHHCzt7s";;;;"865265748133937153";https://twitter.com/ForbesTech/status/865265748133937153
DonalFlanagan;2017-05-18 16:50;4;2;"Apple’s New Campus: An Exclusive Look Inside the Mothership | WIRED https://www.wired.com/2017/05/apple-park-new-silicon-valley-campus?mbid=social_fb …";;;;"865354013889499136";https://twitter.com/DonalFlanagan/status/865354013889499136
NewsNeus;2017-05-18 16:29;8;4;"Companies including Google, # Apple, # Samsung, are investing billions in developing new biometric sensors. # healthhttps://www.forbes.com/sites/bernardmarr/2016/09/27/3-industries-that-will-be-transformed-by-ai-machine-learning-and-big-data-in-the-next-decade/#6f7f4227183e …";;;# # # #6f7f4227183e;"865348526062129153";https://twitter.com/NewsNeus/status/865348526062129153
mariskreizman;2017-05-18 15:34;0;27;"I've made a lot of sacrifices for my disease, but I'll be damned if I have to wear an Apple Watch. http://www.cnbc.com/2017/05/18/apple-ceo-tim-cook-test-drove-glucose-monitor.html …";;;;"865334910336344070";https://twitter.com/mariskreizman/status/865334910336344070
SarahMMahoney;2017-05-18 15:30;11;17;"Apple And Google: The Next Big Pharma @ JohnNosta # digitalhealthhttps://www.forbes.com/sites/johnnosta/2017/04/15/apple-and-google-the-next-big-pharma/ …";;@;#;"865333736006713344";https://twitter.com/SarahMMahoney/status/865333736006713344
johnkoetsier;2017-05-18 15:13;2;5;"Apple CEO Tim Cook test-drove a device that tracks his blood sugar http://cnb.cx/2rwbJJt  by @ chrissyfarr # apple # applewatch # healthcare";;@;# # #;"865329596677226496";https://twitter.com/johnkoetsier/status/865329596677226496
aallan;2017-05-18 15:09;2;8;"Google's numbers reveal that Apple's share of the smartphone market is 65% to 230% bigger than we've always thought. https://www.forbes.com/sites/johnkoetsier/2017/05/18/surprise-google-reveals-apples-ios-market-share-is-65-to-230-bigger-than-we-thought/ …";;;;"865328571019137024";https://twitter.com/aallan/status/865328571019137024
ntaylor963;2017-05-18 14:54;3;5;"I have high blood sugar. This report of Tim Cook prototype Apple Watch/continuous glucose monitor makes me happy http://www.cnbc.com/2017/05/18/apple-ceo-tim-cook-test-drove-glucose-monitor.html …pic.twitter.com/CtwDtSgAoY";;;;"865324676309934080";https://twitter.com/ntaylor963/status/865324676309934080
jnack;2017-05-18 14:20;3;5;""Sorry, Apple Photos, but I'm leaving you for @ GooglePhotos"http://mashable.com/2017/05/18/breaking-up-with-apple-photos-for-google-photos/#W7zBDjtKG05b …";;@;#W7zBDjtKG05b;"865316225206833153";https://twitter.com/jnack/status/865316225206833153
manugamero;2017-05-18 14:11;3;5;"Good in-depth article about Apple Park with insights on conceptualization and execution of detail-oriented projects https://www.wired.com/2017/05/apple-park-new-silicon-valley-campus …";;;;"865313978121154560";https://twitter.com/manugamero/status/865313978121154560
theapplefarmer;2017-05-18 13:44;3;7;"What this apple-picking robot means for the future of farm workers - Comments section also interesting: http://to.pbs.org/2pYeIJE";;;;"865307027807096833";https://twitter.com/theapplefarmer/status/865307027807096833
creativeedtech;2017-05-18 13:39;4;13;"Hey iPhone Friends check out this article "Sorry, Apple Photos, but I'm leaving you for Google Photos" http://google.com/newsstand/s/CBIwscac9TQ … # edtech";;;#;"865305847764668417";https://twitter.com/creativeedtech/status/865305847764668417
onedroptoday;2017-05-18 13:29;5;15;"Tim Cook test-drove a device that tracks his # bloodsugar, hinting at Apple's interest in the space http://cnb.cx/2q1iktC  via @ chrissyfarrpic.twitter.com/fWEoy7nbhV";;@;#;"865303235174817792";https://twitter.com/onedroptoday/status/865303235174817792
kazonomics;2017-05-18 13:21;3;8;"Apple excited about its prospects in # Healthcare $ aapl forward valuations is over a # Trillion & growing # diabeteshttp://www.cnbc.com/2017/05/18/apple-ceo-tim-cook-test-drove-glucose-monitor.html …";;;# # #;"865301422639898624";https://twitter.com/kazonomics/status/865301422639898624
CNBC;2017-05-18 11:57;7;11;"Spotify just bought an AI startup to help it stay ahead of Apple Music http://cnb.cx/2pXR7ZG";;;;"865280101507883008";https://twitter.com/CNBC/status/865280101507883008
Independent;2017-05-18 11:55;2;11;"Jeff Goldblum was almost the voice of Apple http://ind.pn/2qVEouH";;;;"865279574074155010";https://twitter.com/Independent/status/865279574074155010
tino_rothfuss;2017-05-18 11:01;0;0;"# Google macht jagt auf Apples # Siri mit künstlicher Intelligenz # apple # ki # GoogleIOhttps://www.welt.de/wirtschaft/webwelt/article164684617/Google-jagt-Apples-Siri-mit-kuenstlicher-Intelligenz.html …";;;# # # # #;"865266020201771010";https://twitter.com/tino_rothfuss/status/865266020201771010
Meckerschwabe;2017-05-18 09:37;0;0;"https://www.wired.com/2017/05/apple-park-new-silicon-valley-campus/ … Zu Besuch in Apples Raumschiff.";;;;"865245018952531968";https://twitter.com/Meckerschwabe/status/865245018952531968
ovoss;2017-05-18 09:32;0;0;"Wie # Google, # Amazon und # Apple um die Vorherrschaft bei # Sprachsteuerung und digitalen Assistenten kämpfenhttp://bit.ly/2qB3xaV";;;# # # #;"865243652066619393";https://twitter.com/ovoss/status/865243652066619393
