username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cdlprs;2015-11-22 14:34;0;0;"Kann ich als stolzer 4s-User bestätigen: Is Apple deliberately sabotaging old iPhones before a new release? http://dailym.ai/1k5rGk6";;;;"668558176283926528";https://twitter.com/cdlprs/status/668558176283926528
business;2015-11-22 14:31;79;50;"Apple wants to make settling up easier by introducing a peer-to-peer payments feature http://bloom.bg/1HKBsi8 pic.twitter.com/vuuVBcJ4OQ";;;;"668557423934840832";https://twitter.com/business/status/668557423934840832
ForbesTech;2015-11-22 14:30;28;27;"Golf equipment manufacturer PING launched a golf-specific fitness app for the Apple Watch: http://onforb.es/1X1djjE pic.twitter.com/9Ok6Jm1wh8";;;;"668557067486109696";https://twitter.com/ForbesTech/status/668557067486109696
ammgruppe;2015-11-22 13:20;0;2;"# Inklusion_ist, wenn Weltfirma für Behinderte entwickelt : Apple erhält Auszeichnung von Sehbehindertenbund. http://www.heise.de/mac-and-i/meldung/Apple-erhaelt-Auszeichnung-von-Sehbehindertenbund-3010410.html …";;;#;"668539583601246208";https://twitter.com/ammgruppe/status/668539583601246208
PBS;2015-11-22 12:11;24;54;"Try these bacon apple stuffins from @ pbsparents. (Stuffins = “stuffing muffins!”) http://to.pbs.org/1jeotyW pic.twitter.com/DMIY41p0NX";;@;;"668522107706322946";https://twitter.com/PBS/status/668522107706322946
TheEconomist;2015-11-22 12:00;101;92;"Germany's industrial giants are building platforms akin to Apple's iOS http://econ.st/1Mpk7Q4 pic.twitter.com/NjOhqYdg53";;;;"668519342166949888";https://twitter.com/TheEconomist/status/668519342166949888
Jelle_Zijlstra;2015-11-22 11:44;0;0;"Does Deutschland do digital? # interessing # IT # google # apple # carindustryhttp://www.economist.com/news/business/21678774-europes-biggest-economy-rightly-worried-digitisation-threat-its-industrial?fsrc=scn/tw/te/pe/ed/doesdeutschlanddodigital …";;;# # # # #;"668515337852297217";https://twitter.com/Jelle_Zijlstra/status/668515337852297217
businessinsider;2015-11-22 10:37;105;55;"Apple CarPlay could completely disrupt the auto industry in one important way http://read.bi/1I8v30k pic.twitter.com/Nft4euorLZ";;;;"668498540700835840";https://twitter.com/businessinsider/status/668498540700835840
engadgetmobile;2015-11-22 09:36;25;35;"Motorola's Chicago flagship store is the antithesis of an Apple store http://engt.co/1N27dEI";;;;"668483130605502464";https://twitter.com/engadgetmobile/status/668483130605502464
DailyMirror;2015-11-22 14:50;16;22;"Homeless man learns to play music by practising in Apple store http://www.mirror.co.uk/news/uk-news/homeless-man-turns-life-around-6881257 …pic.twitter.com/1uAZ61sUGQ";;;;"668562125422465024";https://twitter.com/DailyMirror/status/668562125422465024
CNET;2015-11-22 11:40;49;25;"Outcry after Apple Music head says women may find it difficult to find music http://cnet.co/1Omg9Ze pic.twitter.com/SBADWmiEP9";;;;"668514295400038400";https://twitter.com/CNET/status/668514295400038400
TheNextWeb;2015-11-22 11:32;30;17;"Apple Pencil teardown proves you shouldn't use it for your next pencil war http://tnw.me/qUvzQ1p pic.twitter.com/efWW183nNv";;;;"668512509738000384";https://twitter.com/TheNextWeb/status/668512509738000384
EconBizFin;2015-11-22 11:23;96;78;"Germany's industrial giants are building platforms akin to Apple's iOS http://econ.st/1LowjN7 pic.twitter.com/jB0BTgcGS0";;;;"668510052412731392";https://twitter.com/EconBizFin/status/668510052412731392
SAI;2015-11-22 10:37;46;25;"Apple CarPlay could completely disrupt the auto industry in one important way http://read.bi/1I8v30k pic.twitter.com/T5uJ0fkVms";;;;"668498564520280064";https://twitter.com/SAI/status/668498564520280064
TheNextWeb;2015-11-22 10:03;17;7;"How to save your Rdio playlists to Spotify and Apple Music before they're gone http://tnw.me/LzJIaMZ pic.twitter.com/OVnCKOPqr8";;;;"668489940125265920";https://twitter.com/TheNextWeb/status/668489940125265920
VentureBeat;2015-11-22 10:00;12;8;"Publishers: Here’s your counter-move to Apple’s ad blocking http://onvb.co/M5GcKHc pic.twitter.com/RE1u5pJRIc";;;;"668489229182324736";https://twitter.com/VentureBeat/status/668489229182324736
Independent;2015-11-22 08:54;21;19;"Apple is giving away free Tube travel http://ind.pn/1NkZZlz";;;;"668472588285423617";https://twitter.com/Independent/status/668472588285423617
CHIP_online;2015-11-22 03:30;3;8;"Apple # iPhone6s zum Spottpreis! http://chip.li/tgQ # schnäppchenpic.twitter.com/wKrgoINRNl";;;# #;"668391020485320704";https://twitter.com/CHIP_online/status/668391020485320704
mac_and_i;2015-11-22 03:01;21;9;"Apple erhält Auszeichnung von Sehbehindertenbund http://www.heise.de/mac-and-i/meldung/Apple-erhaelt-Auszeichnung-von-Sehbehindertenbund-3010410.html … # Apple";;;#;"668383704826400768";https://twitter.com/mac_and_i/status/668383704826400768
natterstefan;2015-11-21 23:56;0;0;"Neues E-Auto : Steckt Apple hinter dem mysteriösen Tesla-Konkurrenten? # mustread # feedly. @ 86julian: was denkst du?http://www.gruenderszene.de/automotive-mobility/tesla-apple-faraday?utm_source=rss&utm_medium=rss&utm_campaign=rss&utm_source=rss&utm_medium=rss&utm_campaign=tesla-apple-faraday …";;@;# #;"668337342441213953";https://twitter.com/natterstefan/status/668337342441213953
ForbesTech;2015-11-21 23:30;52;31;"The Apple iPad Pro shines for watching video, but shouldn't be a full-on laptop replacement http://onforb.es/1PSVttn pic.twitter.com/CVT2sd7C23";;;;"668330574533234688";https://twitter.com/ForbesTech/status/668330574533234688
Inc;2015-11-21 21:29;24;19;"Why Apple Pay is struggling in the U.S. http://bit.ly/1N9VL07 pic.twitter.com/C9NE4UZ3KE";;;;"668300216530022400";https://twitter.com/Inc/status/668300216530022400
RT_com;2015-11-21 20:07;58;37;"Man swinging samurai sword at NYC Apple Store detained by NYPD http://on.rt.com/6x68 pic.twitter.com/VlWJUGPGLx";;;;"668279674418700288";https://twitter.com/RT_com/status/668279674418700288
DRUDGE_REPORT;2015-11-21 19:51;24;23;"PANIC: MAN GOES INTO APPLE STORE WITH SAMURAI SWORD... http://bit.ly/1Hfnx9i";;;;"668275522225356800";https://twitter.com/DRUDGE_REPORT/status/668275522225356800
TechCrunch;2015-11-21 19:37;115;92;"Gestures are defining Apple Watch http://tcrn.ch/1Mto6eo pic.twitter.com/HPQFxOzDIN";;;;"668271965929631744";https://twitter.com/TechCrunch/status/668271965929631744
businessinsider;2015-11-21 17:47;45;46;"Everything Apple does can be explained by this one simple question http://www.businessinsider.com/the-apple-platform-advantage-explained-2015-11 …pic.twitter.com/bKmqFcNdLz";;;;"668244493158617088";https://twitter.com/businessinsider/status/668244493158617088
MarketWatch;2015-11-21 16:05;90;68;"Apple contributed 20% to the S&P 500's total year-to-date return. Amazon contributed 114%. http://on.mktw.net/1Nh6LJ5 pic.twitter.com/PjgFIq3FFv";;;;"668218628337176576";https://twitter.com/MarketWatch/status/668218628337176576
DogTreatNews;2015-11-21 16:02;0;0;"RT # MichaliaYsgawy: http://j.mp/1zAfMow # glam # apple # yellows # wisdom Cookbook # for # dogs: Cookbook For Dogs … http://bit.ly/1QEKJj9";;;# # # # # # #;"668217905960648708";https://twitter.com/DogTreatNews/status/668217905960648708
CryptoGrain;2015-11-21 16:01;0;0;"Bringing a sword to the Apple store is a bad way to get an iPhone http://huff.to/1NiVFDn pic.twitter.com/Snq1NnXkQR";;;;"668217827778813953";https://twitter.com/CryptoGrain/status/668217827778813953
