username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CNBC;2013-09-25 16:02;40;6;"Samsung ups ante against Apple with curved screens: http://cnb.cx/14H2Qgt  (via @ Ansuya_H)";;@;;"383003665843646465";https://twitter.com/CNBC/status/383003665843646465
NYDailyNews;2013-09-25 15:47;13;3;"Apple Maps directions send drivers to Alaska airport — via the main runway. http://nydn.us/19GfxGZ";;;;"382999952764731392";https://twitter.com/NYDailyNews/status/382999952764731392
symantec;2013-09-25 15:20;8;3;"VIDEO ☛ How to Hack Apple's Fingerprint Scanner http://ow.ly/pdezB";;;;"382992967130447873";https://twitter.com/symantec/status/382992967130447873
