username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FastCompany;2015-03-14 16:58;57;42;"How the Apple Watch will change office life: http://f-st.co/VpJKUYm pic.twitter.com/trKz7SyZ8w";;;;"576895175835938816";https://twitter.com/FastCompany/status/576895175835938816
WSJTech;2015-03-14 16:52;43;26;"Apple draws so many shoppers its stores single-handedly lift sales by 10% at the malls they operate in: http://on.wsj.com/1C4Sae9";;;;"576893636886986752";https://twitter.com/WSJTech/status/576893636886986752
CNET;2015-03-14 16:20;50;49;"Apple's Tim Cook offered an ailing Steve Jobs part of his liver, new bio says http://cnet.co/1MyoPdA pic.twitter.com/vbxMK8S6tp";;;;"576885568556179456";https://twitter.com/CNET/status/576885568556179456
DShankar;2015-03-14 16:17;63;44;"Insane. Warby Parker stores make more $/sqft than Tiffany & co, second in the US only to Apple http://www.fastcompany.com/3041334/most-innovative-companies-2015/warby-parker-sees-the-future-of-retail …pic.twitter.com/uce5HL6oQ4";;;;"576884763077668864";https://twitter.com/DShankar/status/576884763077668864
Independent;2015-03-14 16:01;48;31;"Five reasons not to buy the Apple Watch http://i100.io/omRH23S pic.twitter.com/4LqHg2ubuy";;;;"576880907535056897";https://twitter.com/Independent/status/576880907535056897
Telegraph;2015-03-14 16:01;14;15;"15 funniest tweets of the week: # Apple watch to Zlatan http://www.telegraph.co.uk/men/the-filter/11466968/15-funniest-tweets-of-the-week-Jeremy-Clarkson-to-Apple-Watch.html …pic.twitter.com/xPdIHCje0k";;;#;"576880906675191808";https://twitter.com/Telegraph/status/576880906675191808
FastCoDesign;2015-03-14 15:39;14;3;"Here's what we learned about the Apple Watch: http://f-st.co/MjsctT5  by @ chrisgayomalipic.twitter.com/TUqG4jvO6B";;@;;"576875305115234304";https://twitter.com/FastCoDesign/status/576875305115234304
AppleReporter;2015-03-14 15:38;16;21;"Amazing Apple Store Facts http://read.bi/1xmg3GW $ AAPL # USA # China # iPhone6 # AppleWatch # ApplePaypic.twitter.com/2hagI51mQX";;;# # # # #;"576875013388668928";https://twitter.com/AppleReporter/status/576875013388668928
TechCrunch;2015-03-14 14:51;48;33;"The Apple Watch is time, saved http://tcrn.ch/1AlDGQZ";;;;"576863133744148480";https://twitter.com/TechCrunch/status/576863133744148480
BostonGlobe;2015-03-14 14:10;11;21;"# Recipe for apple cake http://bit.ly/18AwkBJ pic.twitter.com/R7rZzIOlo1";;;#;"576852963827806208";https://twitter.com/BostonGlobe/status/576852963827806208
Independent;2015-03-14 13:05;25;21;"Everyone is going wild over this 'Spanish laughing guy' Apple spoof http://i100.io/u70b4hW pic.twitter.com/Mz4UaJ9Hvm";;;;"576836480896671745";https://twitter.com/Independent/status/576836480896671745
georgezachary;2015-03-14 12:55;10;25;"Super proud to be your #1 investor. @ Pebble Time Kickstarter Drew 167% More Money/Hour The Day After Apple’s Event http://techcrunch.com/2015/03/14/pebble-time-kickstarter-drew-167-more-money-per-hour-the-day-after-apples-event/?ncid=rss&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29 …";;@;#1;"576834060082761728";https://twitter.com/georgezachary/status/576834060082761728
