username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
t3n;2016-07-25 14:05;7;2;"Extrem seltener Apple-1 wird ab jetzt versteigert – für einen guten Zweck http://t3n.de/news/charitybuzz-auktion-apple-1-729076/ …pic.twitter.com/WihxIq7SIp";;;;"757683186457518080";https://twitter.com/t3n/status/757683186457518080
Minderleister;2016-07-25 14:10;0;1;"t3n: Extrem seltener Apple-1 wird ab jetzt versteigert – für einen guten Zweck http://t3n.de/news/charitybuzz-auktion-apple-1-729076/ … pic.twitter.com/6UV8nmFqKd # marketing";;;#;"757684575791357952";https://twitter.com/Minderleister/status/757684575791357952
mgns;2016-07-25 11:41;0;1;"83 Prozent der Apple-Watch-Besitzer finden sich fitter als zuvor. http://m.heise.de/mac-and-i/meldung/Untersuchung-Apple-Watch-verlockt-Kaeufer-zu-mehr-Sport-3277258.html …pic.twitter.com/6t5sywUok8";;;;"757646885884755968";https://twitter.com/mgns/status/757646885884755968
CHIP_online;2016-07-25 09:38;2;5;"Abhörsicheres iPhone: Edward Snowden lehrt Apple das Fürchten http://bit.ly/2aefSfW";;;;"757616090952237056";https://twitter.com/CHIP_online/status/757616090952237056
mac_and_i;2016-07-25 09:11;5;6;"Bericht: Apple stellt Car-Projekt unter neue Führung http://www.heise.de/mac-and-i/meldung/Bericht-Apple-stellt-Car-Projekt-unter-neue-Fuehrung-3278030.html … # Apple";;;#;"757609131092086784";https://twitter.com/mac_and_i/status/757609131092086784
sternde;2016-07-25 08:06;3;4;"Der Apple-Experte ist sich sicher - das # iPhone7 kommt am 16. September in die Läden http://www.stern.de/6979542  /stb";;;#;"757592761159737344";https://twitter.com/sternde/status/757592761159737344
CHIP_online;2016-07-25 07:59;3;8;"Abhörsicheres iPhone: Edward Snowden lehrt Apple das Fürchten http://bit.ly/2abUgQv";;;;"757591059916402689";https://twitter.com/CHIP_online/status/757591059916402689
DIVSI_Info;2016-07-25 06:38;1;1;"Abhörsicher und von Apple: Whistleblower # EdwardSnowden will ein Smartphone für Journalisten entwickeln: http://meedia.de/2016/07/22/abhoersicher-und-von-apple-whistleblower-edward-snowden-entwickelt-ein-smartphone-fuer-journalisten/ … via @ meedia";;@;#;"757570633345531910";https://twitter.com/DIVSI_Info/status/757570633345531910
mobilezeitgeist;2016-07-25 06:04;3;0;"Neuer Zusammenschluss: Paypal und Visa gegen Apple und Google http://buff.ly/29Zhoyk # POSPayment";;;#;"757562108326313984";https://twitter.com/mobilezeitgeist/status/757562108326313984
finanzblick;2016-07-25 05:08;0;1;"# iPhone7: Release am 16. September – das können wir von Apples nächstem Smartphone erwarten http://buff.ly/2ak6GVB  via @ t3n";;@;#;"757547999279144960";https://twitter.com/finanzblick/status/757547999279144960
mac_and_i;2016-07-25 04:56;2;1;"Apple arbeitet in Berlin angeblich an Kartendienst http://www.heise.de/mac-and-i/meldung/Apple-arbeitet-in-Berlin-angeblich-an-Kartendienst-3277567.html … # AppleMaps # Apple";;;# #;"757544959474069504";https://twitter.com/mac_and_i/status/757544959474069504
t3n;2016-07-25 02:35;5;4;"# Apple Watch: Verkäufe brechen dramatisch ein, Samsung und Lenovo holen auf http://t3n.de/news/apple-watch-verkaeufe-728830/ …";;;#;"757509571472658432";https://twitter.com/t3n/status/757509571472658432
HKTechItEasy;2016-07-25 02:34;1;0;"Allererster Apfel kommt unter den Hammer! ... Der aus Adam+Eva? ... Neee, Apple-1 von 1976 # apple http://www.heise.de/newsticker/meldung/Wohl-seltenster-Apple-1-kommt-unter-den-Hammer-3277265.html …";;;#;"757509286029328384";https://twitter.com/HKTechItEasy/status/757509286029328384
mac_and_i;2016-07-25 02:31;10;9;"Wohl seltenster Apple-1 kommt unter den Hammer http://www.heise.de/mac-and-i/meldung/Wohl-seltenster-Apple-1-kommt-unter-den-Hammer-3277265.html … # Apple";;;#;"757508472464347136";https://twitter.com/mac_and_i/status/757508472464347136
mac_and_i;2016-07-25 02:31;2;4;"Untersuchung: Apple Watch verlockt Käufer zu mehr Sport http://www.heise.de/mac-and-i/meldung/Untersuchung-Apple-Watch-verlockt-Kaeufer-zu-mehr-Sport-3277258.html … # AppleWatch # Smartwatch";;;# #;"757508469943599104";https://twitter.com/mac_and_i/status/757508469943599104
mashsoft;2016-07-25 01:35;0;0;"Release-Termin durchgesickert: Kommt das iPhone 7 an diesem Tag?: Dass Apple das iPhone 7 im September vorst... http://bit.ly/29ZMwPc";;;;"757494386858991617";https://twitter.com/mashsoft/status/757494386858991617
CMSFreiberufler;2016-07-25 00:52;0;0;"Release-Termin durchgesickert: Kommt das iPhone 7 an diesem Tag?: Dass Apple das iPhone 7 im September vorst... http://bit.ly/29ZMwPc";;;;"757483705128456192";https://twitter.com/CMSFreiberufler/status/757483705128456192
CMSFreiberufler;2016-07-24 23:08;0;0;"Installiert Apple Store OS X neu direkt vor Ort?: Ich habe keine Erfahrungen mit dem Apple Support bis auf iO... http://bit.ly/2anyjA8";;;;"757457380716138497";https://twitter.com/CMSFreiberufler/status/757457380716138497
